0: [[19, 10, 3, 4, 1, 2], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
1: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
2: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
3: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
4: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
5: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
6: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
7: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
8: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
9: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
10: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
11: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
12: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
13: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
14: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
15: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
16: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
17: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
18: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15], [13, 12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
19: [[3, 4, 19, 10], [1, 2], [7, 14, 5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
20: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
21: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
22: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
23: [[3, 4, 1, 2, 7, 14, 19, 10], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16, 22], [21, 23, 24]]
24: [[19, 3, 1, 2, 10, 4], [7, 14], [5, 6, 9, 8, 15, 13], [12, 11, 17, 20, 18, 16], [22, 21, 23, 24]]
