0: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
1: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
2: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
3: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
4: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
5: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
6: [[1, 7, 5, 2, 8, 10], [14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
7: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
8: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
9: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
10: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
11: [[1, 7, 5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
12: [[1, 3], [5, 10, 8, 2], [14, 7, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
13: [[1, 3], [5, 10, 8, 2], [14, 7, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
14: [[1, 3], [5, 10, 8, 2], [14, 7, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
15: [[1, 7, 5, 2], [10, 8], [14, 3, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
16: [[1, 7, 5, 2], [10, 8], [14, 3, 6, 4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
17: [[1, 7, 5, 2], [8, 10, 14, 3, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
18: [[1, 3, 5, 10, 8, 2], [14, 7, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
19: [[1, 3, 5, 10, 8, 2], [14, 7, 4, 6], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
20: [[1, 7, 5, 2, 8, 3], [14, 10, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
21: [[1, 7, 5, 2], [8, 3], [14, 10, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
22: [[1, 7, 5, 2], [8, 3], [14, 10, 6, 4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
23: [[1, 7, 5, 2], [8, 3], [14, 10, 6, 4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
24: [[1, 10, 3, 8], [2, 5, 7, 6], [14, 4, 9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
25: [[1, 7], [5, 2, 8, 10], [14, 3, 4, 6], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
26: [[1, 3, 5, 10], [8, 2, 14, 7, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
27: [[1, 3, 5, 10], [8, 2, 14, 7, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
28: [[1, 3, 5, 10], [8, 2, 14, 7, 6, 4], [9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
29: [[1, 7, 5, 2], [8, 10, 14, 3], [4, 6, 9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
30: [[1, 7, 5, 2], [8, 10, 14, 3], [4, 6, 9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
31: [[1, 7, 5, 2], [8, 3, 14, 10], [6, 4, 9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
32: [[1, 7, 5, 2], [8, 10, 14, 3], [6, 4, 9, 13, 11, 12], [15, 16], [19, 17, 18, 20]]
33: [[1, 7], [5, 2, 8, 10], [14, 3, 6, 4, 9, 13], [11, 12, 15, 16], [19, 17, 18, 20]]
34: [[1, 7], [5, 2, 8, 10], [14, 3, 6, 4, 9, 13], [11, 12, 15, 16], [19, 17, 18, 20]]
35: [[1, 8, 10, 2], [7, 14, 5, 6, 3], [4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
36: [[1, 3, 5, 10], [8, 2], [14, 7, 6, 4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
37: [[1, 3, 5, 10], [8, 2, 14, 7], [6, 4], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
38: [[1, 7, 5, 2, 6], [14, 8], [3, 4, 10], [9, 13, 11, 12, 15, 16], [19, 17, 18, 20]]
39: [[1, 7], [5, 2, 8, 3], [14, 10, 6, 4, 9, 13], [11, 12, 15, 16], [19, 17, 18, 20]]
