0: [[37, 7], [4, 3], [9, 8, 39, 10], [1, 2, 6, 29, 11, 24, 28, 12, 22], [18], [5, 15, 14], [21, 17, 16], [20, 19, 26, 30, 25, 50, 59, 44, 61], [33], [27, 31, 42, 47, 38], [34, 32, 36, 55, 43, 13, 23], [41, 35, 40], [56, 45, 58, 46, 51, 49, 54, 48], [53, 52, 57, 60, 63, 62, 66, 67, 64, 65, 68], [69, 73, 70, 76, 71, 74, 77, 72, 75], [79, 78, 83, 82], [84, 86, 85, 80, 81, 87, 88]]
1: [[37, 7], [4, 3], [9, 8], [33, 2, 12, 22], [5, 1, 13], [28, 26], [24, 23], [6, 25, 18, 14, 11, 21, 19, 17, 31, 15, 16, 20, 62], [50, 32, 27, 36, 35, 46, 29, 30, 51, 44, 39, 34, 40, 43, 42, 56, 10], [41, 60], [38, 47, 48, 45, 53, 52, 55, 49, 54, 58, 61, 57, 63, 59], [66, 64, 70, 69, 71, 72, 73, 76, 78, 65, 75, 68, 74, 77, 80, 81, 67, 84, 85, 82, 79, 83, 87, 86, 88]]
2: [[37, 7], [4, 3], [9, 8, 39, 2, 1, 10, 5, 31, 6], [21], [14, 15, 11], [50, 17, 23], [24, 16, 22, 48, 29, 12, 13, 25, 18], [62], [63, 41, 60, 28, 43], [19, 20, 58, 26, 32, 27, 35], [44, 42, 30], [34, 33, 47, 36, 53, 38, 40, 45], [46, 49, 52, 57, 51, 54, 55, 56, 61], [59, 66, 65, 67, 64, 68, 71, 70, 69], [74, 79, 72, 77], [76, 78, 73, 75, 82, 80, 85], [81, 84, 83, 86, 87, 88]]
3: [[37, 7], [4, 3, 9, 8], [33, 1, 5], [6, 14, 15, 2, 11], [25, 16, 18], [17, 19, 49, 21], [20], [24, 29, 23], [43, 26, 12, 13, 22], [40, 27, 47, 41, 51, 32, 30, 28, 31, 34, 36, 38, 35], [42, 46, 62, 44, 45, 50, 53, 61, 63, 52], [54, 56, 57, 55, 58, 48, 59, 60, 39, 64, 67, 68, 66, 65, 69, 74, 76, 70, 73, 71, 72, 78, 75, 79, 77, 84, 10], [83, 81, 80, 82], [85, 86, 87, 88]]
4: [[37, 7], [4, 3], [9, 8], [39, 2, 6, 26], [10, 22, 13, 23, 12, 11, 14, 18, 1], [15], [20, 16, 17], [48, 31, 19], [21, 52, 25, 60, 63, 41, 61, 24, 34], [56], [49, 27, 28, 38, 32], [35, 44, 42, 29, 30, 33, 47], [36, 40, 45], [62, 43, 46, 50, 54, 55, 53, 51], [57, 58, 59, 76, 80, 67, 65, 64, 68], [73, 66, 70, 69, 71, 74, 77, 72, 75], [79, 78, 83, 82], [85, 87, 5, 84, 81, 86, 88]]
5: [[37, 7], [4, 3], [9, 8, 5], [1, 2, 6, 14, 13, 10, 26, 11, 60, 28, 22, 23, 12, 15, 21, 16, 19, 20, 18, 31, 24, 57, 25, 27, 29, 17, 46, 58], [54, 32], [30, 33], [35, 61, 38, 40, 34, 36, 44, 43, 39, 62, 41], [42], [45, 47, 51, 48, 49, 52, 50, 55, 56, 63, 53], [59, 64, 66, 67, 73, 70, 71, 68, 65, 75, 69, 78, 74, 72, 76, 77, 79, 81, 80, 82, 84, 83, 85, 86, 87, 88]]
6: [[37, 7], [4, 3], [9, 8], [5, 1, 2, 10, 22, 24, 12], [28, 13], [30], [14, 11, 15], [17, 16], [18, 6, 19, 31], [21, 55, 20, 23, 53], [25, 58, 62, 48, 26, 49, 27, 33, 35, 29, 32, 57, 40], [42, 44, 34], [46, 38], [43, 39, 36, 41, 45, 47, 56, 59, 54, 50, 51, 52, 60, 61, 63, 66], [65, 64, 70, 67, 69, 79, 68, 77, 71, 74, 72, 75, 73, 76, 78, 82, 84, 81], [86, 83, 85, 80, 87, 88]]
7: [[37, 7], [4, 3], [9, 8, 33], [2, 1, 22, 14, 13, 11, 16, 27, 5, 12, 25], [17, 6, 28, 48, 21, 19, 10, 54, 15, 20, 18, 60, 23, 59, 55, 24, 26, 29, 31, 30, 38, 35, 45, 36, 46, 39, 32, 56, 34], [43, 40, 44, 42, 47, 62, 53, 52, 41, 57, 51, 49, 58, 50, 61, 63, 64, 67, 69, 68, 65, 74, 66, 70, 76, 71, 72, 78, 77, 73, 75, 79, 80, 81, 82, 86, 84, 85, 83, 87, 88]]
8: [[37, 7], [4, 3], [9, 8], [5, 10, 6, 1], [19, 13, 30, 2, 14, 12, 15, 18, 11, 25, 20, 23, 22, 24], [16, 17], [26, 63], [28, 29, 52, 21], [31, 42, 27, 34, 55], [41, 33, 38, 36], [32, 44, 39, 35], [60, 40, 43, 47, 62, 45, 61, 46, 49, 51, 59, 48, 50, 53, 57, 54, 56, 58, 66, 64, 72, 76, 69, 65, 68, 67, 71, 79, 70, 73, 75, 74, 78, 77, 84, 85, 80, 82, 86, 83, 81, 87, 88]]
9: [[37, 7], [4, 3], [9, 8], [5, 2, 6, 10], [1, 29, 30, 11, 14, 52, 62, 12, 15, 25, 24, 22, 19, 13], [16, 18], [21, 63, 28, 20, 53, 17, 31, 42, 23, 34, 55, 41, 33, 38, 26, 40, 36, 39, 35, 44, 43, 27, 45, 48, 47, 51, 32, 46, 49, 50, 56, 54, 59, 57, 61, 58, 60, 66, 64, 72, 70, 77, 71], [68, 67, 65, 69, 74, 76, 75, 73, 78, 79, 81, 83, 80, 82, 87, 84, 86, 85, 88]]
10: [[37, 7], [4, 3, 9, 8], [5, 1], [6, 14, 11, 26, 16, 15, 21, 2, 31, 25, 20, 29, 18, 30, 17, 61, 50, 55, 33, 19, 22], [51, 46, 40, 23, 34, 24, 54, 32, 27, 28, 35, 36, 63, 43, 38, 42, 44, 57, 60, 41, 45, 47, 48, 49, 53, 52, 12, 13], [59, 56, 58, 62, 39, 66, 65, 64, 70, 68, 79, 67, 10], [69, 72], [78, 73, 76, 74, 71, 75, 85, 86], [82, 81, 88, 77, 80, 83], [87, 84]]
