0: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
1: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
2: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
3: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
4: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
5: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
6: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
7: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
8: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
9: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
10: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
11: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
12: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
13: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
14: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
15: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
16: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
17: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
18: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
19: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
20: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
21: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
22: [[12, 11, 13], [3, 8, 1], [2, 5, 7, 10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
23: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
24: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
25: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
26: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
27: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
28: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
29: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
30: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
31: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
32: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
33: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
34: [[12, 11, 13], [3, 8, 1, 2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
35: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
36: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
37: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
38: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
39: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
40: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
41: [[12, 11, 13, 3, 8, 1], [2, 5, 7], [10, 6, 9], [14, 16, 15], [18, 19, 17, 20, 4]]
