0: [[17, 6, 5, 18, 24, 2], [3, 4, 15, 8, 12, 11, 13], [9, 10, 23, 22, 19, 1, 7, 14, 16, 20], [21, 26, 27, 28, 29, 25]]
1: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
2: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
3: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
4: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
5: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
6: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
7: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
8: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
9: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
10: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
11: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
12: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
13: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
14: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
15: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
16: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
17: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
18: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
19: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
20: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
21: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
22: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
23: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
24: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
25: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
26: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
27: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
28: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
29: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
30: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
31: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
32: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12, 11], [7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
33: [[17, 6, 18, 5, 24, 2], [3, 4, 15, 13, 8, 12], [11, 7, 9, 14, 1, 10, 23, 22, 20, 19, 16], [21, 26, 25, 27, 28, 29]]
