0: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
1: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
2: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
3: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
4: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
5: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
6: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
7: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
8: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
9: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
10: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
11: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
12: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
13: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
14: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
15: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
16: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
17: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
18: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
19: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
20: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 12, 13, 2]]
21: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
22: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
23: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
24: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
25: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
26: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
27: [[10, 1, 3, 4], [9, 6, 11], [5], [7, 8, 13, 12, 2]]
