0: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 8], [18, 10, 14], [13, 12], [15, 16, 17], [25, 20], [28, 23, 22], [21, 26, 27], [29]]
1: [[7, 24, 2, 1], [19, 9], [5, 6, 4], [11, 3, 8], [18, 10, 15], [13, 12], [14, 16, 17], [25, 20], [28, 23, 22], [21, 26, 27], [29]]
2: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 8, 18], [10, 14, 12], [13, 15, 17], [16, 25], [22, 28, 23], [21, 20, 26, 27, 29]]
3: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 10], [22, 8, 15], [12, 13], [14, 16], [17, 25, 20, 28], [18, 23], [21, 26, 27, 29]]
4: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 18, 10], [14, 12, 13], [15, 17, 16, 25], [22, 28, 23, 21, 20], [26, 27, 29]]
5: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 8, 18], [10, 14, 12], [13, 15, 17], [16, 25], [22, 28, 23, 21, 20], [26, 27, 29]]
6: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 8, 18], [10, 14, 12], [13, 15, 17], [16, 25], [22, 28, 23, 21, 20], [26, 27, 29]]
7: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [8, 18, 10, 15, 12], [13, 14, 16, 17, 23, 22], [20, 25, 21, 26, 29, 27, 28]]
8: [[7, 24, 2, 1, 19], [9, 5, 6, 4, 11, 3, 8, 12, 10, 14, 15, 13, 16, 17, 21, 18, 20], [23, 25, 28], [22], [27, 26, 29]]
9: [[7, 24, 2, 1, 19, 9, 5, 6], [4, 11, 3, 8], [16, 10, 15], [13, 12], [14, 18, 17], [27, 21], [20, 23, 22], [26, 25, 29], [28]]
10: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 14, 10], [17, 21], [29, 12, 20], [22, 18, 16, 23], [27, 26], [25, 28], [15, 13]]
11: [[7, 24, 2, 1, 19, 9, 5, 6], [4, 11, 10, 8, 16, 3, 15, 13, 14], [12, 18, 17], [27, 21, 26, 23], [22, 20, 25, 29, 28]]
12: [[7], [24, 2, 1, 19, 9], [5, 6], [4, 11, 3, 8], [12, 14, 10, 13, 20, 15, 16], [18, 21, 22, 29, 17, 23, 25, 27, 26, 28]]
13: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 8], [18, 15, 14], [12, 10, 13], [20, 17, 25, 21], [28, 23, 16, 22, 26, 27, 29]]
14: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [8, 18, 10, 15, 12], [13, 14, 16, 17, 25, 22], [20, 23, 21, 26, 29, 27, 28]]
15: [[7, 24, 2], [1, 19, 9, 5, 6, 4, 11, 3, 8, 18, 10, 15, 13, 12, 14, 16, 17, 22, 21, 28, 23], [20, 26, 27, 25, 29]]
16: [[7, 24, 2], [1, 19, 9], [5, 6], [4], [11, 3, 8, 13, 10, 15, 12, 21, 14, 16, 17, 27, 20, 18, 23, 25, 22, 26, 29, 28]]
17: [[7], [24, 2, 1, 19, 9], [5, 6], [4, 11, 3, 8, 13, 12, 15, 14, 21, 10, 17, 16, 18, 20, 22, 23, 25, 29, 26], [27, 28]]
18: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 18, 10, 14], [12, 13], [15, 17], [16, 25, 20, 22], [21, 23, 26], [29, 27, 28]]
19: [[7, 24, 2], [1, 19, 9], [5, 6], [4], [11, 3, 8], [14], [10, 16, 21, 28, 15, 22, 29, 18, 17, 20, 27, 26, 23, 25, 12, 13]]
20: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [18, 8, 14], [15, 21, 12], [13, 17, 16, 20], [22, 10, 23], [25, 26, 27], [29, 28]]
21: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 12, 10, 15], [14, 13], [16, 17], [18, 28, 20, 25, 22, 26, 21, 27], [23, 29]]
22: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [3, 11, 8], [13, 10, 15, 12, 14, 17, 16, 18], [29, 20, 21, 23, 25, 26, 22], [28, 27]]
23: [[7, 24], [2, 1, 19], [9, 5, 6], [4, 11, 3, 8, 14, 10, 15, 13, 20, 12, 16, 17, 21, 22], [25, 18, 23, 26, 27, 28, 29]]
24: [[7, 24, 2], [1, 19, 9], [5, 6], [4], [11, 3, 8], [14, 10, 13, 12, 20], [15, 17, 18], [25, 16, 21], [22, 23, 29, 27], [26, 28]]
25: [[7], [24, 2, 1, 19, 9], [5, 6], [4, 11], [3, 8, 12, 13, 10, 15, 17, 14], [16, 18], [20, 21, 25, 22, 23, 26, 27, 28, 29]]
26: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3, 8], [12], [16, 20, 21], [17, 28, 15], [18, 23, 22], [26, 27, 25], [10, 14, 29, 13]]
27: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3, 8], [12], [16, 20, 21], [17, 28, 15], [18, 23, 22], [26, 27, 25], [10, 14, 29, 13]]
28: [[7, 24], [2, 1, 19], [9, 5, 6, 4, 11, 13, 10, 14, 3], [15, 8, 29, 12], [16, 17, 25, 20, 22, 18, 28, 23, 27, 26, 21]]
29: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3, 13], [20, 10, 14], [8, 12], [15, 16, 17], [25, 18], [28, 23, 21], [22, 26], [27, 29]]
30: [[7, 24, 2], [1, 19], [9, 5, 6, 4, 11, 3, 8, 18, 10, 15, 12, 13, 14, 16, 17, 25, 23, 20, 22, 21, 26, 29, 27, 28]]
31: [[7, 24, 2], [1, 19, 9, 5], [6, 4, 11, 3, 8, 14], [13, 10, 12, 16, 15, 17, 18, 29, 20], [21, 22], [25, 23, 27, 26, 28]]
32: [[7, 24, 2], [1, 19, 9, 5, 6, 4, 11], [3, 12, 8, 10, 14, 13, 15, 16, 17, 20, 18], [21, 22, 23, 25, 27, 26, 29, 28]]
33: [[7, 24, 2], [1, 19, 9], [5, 6, 4, 11], [3, 8, 12, 10, 14, 13, 16, 15, 17], [20, 25, 21, 18], [22, 23, 29, 27, 26, 28]]
34: [[7, 24, 2], [1, 19, 9], [5], [6, 4, 11, 3, 8, 10, 12, 14, 13, 21, 15, 17, 26, 25, 28, 20, 23, 18, 29, 16, 22, 27]]
35: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 14, 10, 13], [15, 12, 17], [16, 18, 29, 20], [23, 22, 27, 21, 25], [26, 28]]
36: [[7, 24, 2], [1, 19, 9], [5, 6, 4, 11, 3], [8, 28, 10, 14, 15, 13, 12], [17, 16, 25, 22, 20, 21, 18], [23, 26, 27, 29]]
37: [[7, 24], [2, 1, 19], [9, 5, 6, 4, 11], [3, 8, 14, 10, 15, 13, 29, 12, 16, 21, 25, 20], [22, 17, 28], [18], [27, 26, 23]]
38: [[7, 24, 2], [1, 19], [9, 5, 6], [4, 11, 3, 8], [13, 10], [14, 12, 15, 28], [16, 17, 23], [18, 22, 20, 25, 21, 26, 29, 27]]
39: [[7, 24, 2], [1, 19], [9, 5, 6], [4, 11, 3], [8], [10, 12, 14, 15, 28, 13, 16, 17, 25, 20, 22, 23, 18, 26, 27, 29, 21]]
40: [[7, 24, 2], [1, 19, 9, 5, 6, 4, 11, 3, 8], [12, 10, 14, 13, 15, 17, 16, 18, 21, 20, 22, 26, 27, 23, 25, 28, 29]]
41: [[7, 24, 2, 1, 19, 9, 5, 6, 4], [11, 13, 10, 12], [3, 14, 8, 15, 16, 17, 21, 18, 20, 23, 22], [28, 25, 27, 26, 29]]
42: [[7, 24, 2], [1, 19, 9, 5, 6, 4, 11, 3, 8, 13, 10, 15, 14, 21, 12, 16, 17, 29, 20, 22, 23, 25, 18, 26], [27, 28]]
43: [[7, 24, 2], [1, 19, 9], [5, 6, 4, 11, 3, 8, 16], [10, 14], [13, 12, 15, 21, 17, 23, 20, 18, 22, 25, 27, 28, 26, 29]]
44: [[7, 24, 2], [1, 19, 9, 5, 6], [4, 11, 3], [8, 12, 10], [14], [13, 21, 15], [16, 17, 25, 20], [22, 23, 27, 18, 26, 29], [28]]
45: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [8, 10, 14], [15, 21, 12], [13], [17, 16, 18, 23, 20, 22, 25, 26, 27, 29, 28]]
46: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3, 8], [13], [26, 20, 23, 22], [17, 28, 15], [16, 21, 18, 27, 25, 10], [29, 12, 14]]
47: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [3, 11, 8], [12, 10], [13, 15], [14, 22], [17, 25], [21, 23, 28, 27], [29, 16, 18], [20, 26]]
48: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [3, 11, 8], [12, 10], [13, 15], [14, 22], [17, 25], [21, 23, 28, 27], [29, 16, 18], [20, 26]]
49: [[7], [24, 2, 1], [19], [9, 5, 6, 4, 11, 3, 8, 12, 10, 14, 13, 15, 23, 18, 16, 28], [21, 17, 22, 26, 27, 25, 20, 29]]
50: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3, 8, 21], [10, 15, 12], [13, 14, 22], [17, 26, 16, 20, 23, 18, 25, 27], [29, 28]]
51: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [8, 14, 10, 15], [13, 12], [23, 17, 16], [25, 22, 29, 21], [18, 28, 26, 20, 27]]
52: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [8, 12], [10, 15, 14], [17, 16, 13], [23, 21], [22, 28, 18, 20, 26], [25, 27, 29]]
53: [[7, 24, 2], [1, 19, 9, 5], [6, 4, 11], [3, 10], [28, 13, 15, 8, 12, 14, 16, 18, 22, 21, 17, 20, 29, 23, 26], [27, 25]]
54: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3, 16], [12, 10, 15, 29, 14, 8], [17, 13, 20, 22, 18, 21, 25], [27, 28], [23, 26]]
55: [[7, 24], [2, 1, 19], [9, 5], [6, 4, 11], [3, 8, 10], [12], [14, 13, 22, 15, 16, 17, 25, 20, 18, 23, 21, 29, 26, 27, 28]]
56: [[7, 24, 2, 1], [19, 9, 5], [6, 4, 11], [3, 8, 12, 10], [14, 13, 21, 15, 16, 17, 27, 22, 20, 23, 25, 18, 26, 29, 28]]
57: [[7, 24], [2, 1, 19], [9, 5, 6], [4, 11, 3], [8, 16, 10], [15, 13], [12, 14, 17], [18, 28, 20], [26, 23], [22, 21, 27], [25, 29]]
58: [[7, 24, 2], [1, 19, 9], [5, 6], [4, 11, 3], [8, 21], [10, 14, 12], [13, 15, 16], [17, 25], [22], [23, 20, 18, 27], [26, 28, 29]]
59: [[7, 24, 2], [1, 19, 9], [5, 6, 4], [11, 3], [10, 8], [14, 15], [13, 12], [17, 18, 16], [23, 20], [26, 22], [25, 28, 27], [21, 29]]
