0: [[20, 25], [5, 6], [2, 1, 9], [4, 8, 12], [11, 3], [7, 29, 13, 15, 18, 17, 10, 14], [16, 19], [23, 22], [28, 24], [21, 27, 26]]
1: [[20, 25], [5, 6], [2, 1], [9, 4, 8], [12, 11, 7], [3, 29], [14, 13, 18, 24], [10, 22], [17, 19], [15, 16], [28, 23], [21, 27, 26]]
2: [[20, 25], [5, 6, 2], [1, 9], [4, 8, 12], [11, 7], [3, 29, 13, 15, 18, 24, 10, 14], [17, 19], [23, 22], [16, 28], [21, 27, 26]]
3: [[20, 25], [5, 6], [2, 1, 9], [4, 7, 12, 11, 8, 3], [13, 15], [10, 18, 17, 14, 19, 16, 28], [23, 22, 21, 24], [27, 29, 26]]
4: [[20, 25], [5, 6], [2, 1, 9], [4, 3], [12, 11], [8, 7, 29, 10], [15, 18, 17], [13, 14, 16, 19], [23, 22, 28], [24, 21], [27, 26]]
5: [[20, 25], [5, 6], [2, 1], [9, 4], [8, 12], [11, 3], [7, 29, 13], [15, 18], [17, 10], [14, 16], [19, 23], [22, 28, 24], [21, 27, 26]]
6: [[20, 25], [5, 6], [2, 1, 9], [4, 8, 12], [11, 7], [15, 3, 13, 14, 18], [17, 10], [29, 16], [19, 23, 22], [28, 24, 21], [27, 26]]
7: [[20, 25, 5], [6, 2, 1, 9, 4, 3, 12, 15, 7, 8, 28, 11, 13, 18, 10, 14, 17, 24, 16, 23, 22, 19, 29, 21], [27, 26]]
8: [[20, 25], [5, 6], [2, 1, 9], [4, 3, 12], [15, 7], [14, 8], [13, 10], [19, 17], [18, 29, 16], [11, 23, 22], [28, 24, 21], [27, 26]]
9: [[20, 25], [5, 6, 2], [1, 9, 4], [3, 12], [15, 7], [8, 10, 13, 11, 18, 14, 17, 21, 16, 19, 23, 22, 29, 24, 28], [27, 26]]
10: [[20, 25], [5, 6, 2], [1, 9, 4], [8, 12], [11, 3], [7, 24, 10], [13, 18, 17], [14, 28, 16, 19], [23, 22, 15], [21, 29], [27, 26]]
11: [[20, 25], [5, 6, 2], [1, 9, 4], [11, 12], [15, 3, 10], [7, 8], [13, 18, 21], [14, 17], [16, 19], [23, 22], [28, 24, 29], [27, 26]]
12: [[20, 25], [5, 6], [2, 1], [9, 4, 10, 12, 15, 11, 3, 7, 8, 24, 18, 14, 13, 17, 16, 21, 19, 22, 23, 27, 29, 28, 26]]
13: [[20, 25], [5, 6], [2, 1], [9, 4], [10, 12], [3, 7, 8], [21, 13, 17], [16, 15, 14], [22, 18], [11, 23, 19], [24, 28], [29, 27, 26]]
14: [[20, 25], [5, 6], [2, 1], [9, 4], [10, 12], [11, 3], [7, 24, 15], [13, 18, 17], [14, 23, 16, 8], [21, 19, 28], [22, 29], [27, 26]]
15: [[20, 25], [5, 6], [2, 1, 9], [4, 3, 12, 15, 7, 14, 8, 13, 11, 18, 10, 17, 16, 21, 19, 23, 22, 28, 26, 24, 27, 29]]
16: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12], [11, 8], [7, 13], [10, 15, 18, 17, 28, 14, 16], [24, 23, 22, 19], [21, 29, 27], [26]]
17: [[20, 25], [5, 6], [2, 1], [9, 4, 7], [12, 15, 3], [8, 13, 11, 10, 18, 14, 17, 22, 16, 23], [19, 21, 28, 26, 24, 27, 29]]
18: [[20, 25], [5, 6], [2, 1, 9], [4, 3], [12, 11, 7], [10, 29, 13, 15, 18, 17, 8, 14, 16, 19, 23, 22, 28, 21, 24, 27, 26]]
19: [[20, 25], [5, 6], [2, 1, 9], [4, 8, 12], [15, 10, 7, 3], [11, 13, 18], [17, 28], [22, 16, 19], [14, 23, 21, 24, 26, 27, 29]]
20: [[20, 25], [5, 6], [2, 1, 9], [4, 8, 12], [15, 3, 7], [29, 11, 13, 18, 17, 10, 14, 16, 23, 19, 22, 28, 24, 21, 27, 26]]
21: [[20, 25], [5, 6], [2, 1, 9, 4, 3], [12, 11, 7, 10, 17, 13, 15, 18, 8, 14, 21, 16, 19, 23, 22, 24, 28, 29, 27, 26]]
22: [[20, 25], [5, 6], [2, 1, 9], [4, 7, 12, 11, 8, 3], [13, 15], [10, 18], [19, 14], [22, 16, 21, 23, 17, 28, 24, 27], [29, 26]]
23: [[20, 25], [5, 6], [2, 1], [9, 4], [3, 12], [15, 8], [7, 11], [13, 14], [18, 17], [19, 16, 10], [24, 23, 22], [28, 21], [29, 27, 26]]
24: [[20, 25, 5], [6, 2], [1, 9, 4, 3, 12, 15, 8, 11, 10, 13, 7, 26, 17, 14], [22, 16, 19, 23, 18, 28, 24, 21, 27, 29]]
25: [[20, 25], [5, 6, 2], [1, 9, 4, 3, 12, 15, 7, 10, 8, 13, 11, 18, 24, 14, 21, 16, 19], [23, 22], [17, 28, 29, 27, 26]]
26: [[20, 25], [5, 6], [2, 1, 9], [4, 3], [12, 15, 10], [7, 29, 11], [8, 18, 17, 14], [23, 16, 13], [21, 22], [28, 24, 19], [27, 26]]
27: [[20, 25], [5, 6], [2, 1], [9, 4], [7, 8], [11, 3, 14, 12, 18, 10, 26, 21, 24], [13, 15], [19, 17, 16, 29, 22, 23, 27, 28]]
28: [[20, 25], [5, 6], [2, 1], [9, 4, 3], [12, 15, 7, 10, 8], [13, 11, 18, 17, 14, 16, 24, 19, 23, 22, 28, 21, 29, 27, 26]]
29: [[20, 25], [5, 6], [2, 1, 9], [4, 3], [12, 15, 7], [11, 14, 10], [13, 18, 16, 8, 23, 17, 22, 21, 19, 24, 28, 29, 27, 26]]
30: [[20, 25], [5, 6], [2, 1, 9], [4, 11, 12], [7, 3, 10, 29, 13], [15, 18, 8], [28, 17, 14, 16, 23], [19, 24, 21, 22, 27, 26]]
31: [[20], [25, 5], [6, 2], [1, 9, 4, 3, 12, 11, 8, 7, 13, 10, 15, 18, 19, 24, 26, 16, 14, 23, 22, 28, 17, 21, 27, 29]]
