0: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
1: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
2: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
3: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
4: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
5: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
6: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
7: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
8: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
9: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
10: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
11: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
12: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
13: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
14: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
15: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
16: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
17: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
18: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
19: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
20: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
21: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
22: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
23: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
24: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
25: [[2, 3, 1, 5], [8, 6, 4, 10], [9, 7, 11, 13, 12]]
