0: [[4, 6, 5], [15, 8, 9, 1, 2, 13], [14, 10, 12, 19, 7, 11], [18, 17, 22, 16, 20, 3], [21, 23, 24]]
1: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
2: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
3: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
4: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
5: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
6: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
7: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
8: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
9: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
10: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
11: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
12: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
13: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
14: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
15: [[7, 2, 11], [3, 5, 1, 4, 6], [15, 8, 9], [14, 10, 12, 13, 19], [18, 17, 22, 16, 20], [21, 23, 24]]
