0: [[5, 3], [10, 12, 1, 4, 2], [9, 13, 7], [6, 8, 11]]
1: [[3, 5], [10, 2, 12], [1, 4], [9, 13, 7], [6, 8, 11]]
2: [[3, 5], [10, 2, 12], [1, 4], [9, 13, 7, 6, 8, 11]]
3: [[3, 5], [10, 2, 12, 1], [4, 9, 13, 7], [6, 8, 11]]
4: [[3, 5], [10, 2], [12, 1, 4], [9, 13, 7], [6, 8, 11]]
5: [[3, 5], [10, 2], [12, 1, 4], [9, 13, 7], [6, 8, 11]]
6: [[3, 5], [10, 2], [12, 1, 4], [9, 13, 7], [6, 8, 11]]
7: [[3, 5], [10, 2, 12], [1, 4], [9, 13, 7, 6], [8, 11]]
8: [[3, 5], [10, 2, 12], [1, 4, 9, 13], [7, 6, 8, 11]]
9: [[3, 5], [10, 2, 12], [1, 4, 9, 13, 7, 6, 8, 11]]
10: [[3, 5], [10, 12, 1, 2, 4], [9, 13], [7, 6, 8, 11]]
11: [[5, 3], [10, 12, 1, 2], [4, 9, 13], [7, 6, 8, 11]]
12: [[5, 3], [10, 12, 1, 2], [4, 9, 13], [7, 6, 8, 11]]
13: [[3, 5], [10, 2, 12], [1, 4], [9, 13], [7, 6, 8, 11]]
14: [[3, 5], [10, 12, 1, 2], [9, 13, 7, 6, 4], [8, 11]]
15: [[3, 5], [10, 2], [12, 1, 4], [9, 13, 7, 6], [8, 11]]
16: [[3, 5], [10, 2], [12, 1, 4, 9, 13, 7, 6, 8, 11]]
17: [[3, 5, 10], [2, 12, 1, 4, 9, 13, 7, 6], [8, 11]]
18: [[3, 5], [10, 2, 12, 1, 4, 9, 13, 7, 6, 8], [11]]
19: [[5, 3, 1], [10, 2], [12], [4, 9], [13, 7, 6], [8, 11]]
20: [[3, 5], [10, 2], [12, 1, 4], [9, 13], [7, 6, 8, 11]]
21: [[3, 5, 10], [2, 12], [1, 4, 9, 13, 7, 6, 8, 11]]
22: [[3, 5], [10, 2], [12, 1], [4, 9, 13, 7, 6], [8, 11]]
23: [[3, 5, 10], [2, 12, 1], [4, 9], [13, 7, 6], [8, 11]]
24: [[3, 5], [10, 2, 12], [1, 4, 9, 13], [7, 6], [8, 11]]
25: [[5], [10], [12, 1, 4, 9, 13, 2], [7, 6, 3], [8, 11]]
26: [[5], [10], [12, 1, 4, 9, 13, 2], [7, 6, 3], [8, 11]]
27: [[3, 5, 10, 2, 12, 1], [4, 9, 13], [7, 6], [8, 11]]
