0: [[7, 17, 18, 9], [1, 4, 2], [3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33, 32], [35, 37, 36]]
1: [[7, 17, 18, 9], [1, 4, 2], [3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33, 32], [35, 37, 36]]
2: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23, 16], [24, 19, 27, 21], [25, 26, 28], [31, 30, 34], [33, 32], [35, 37, 36]]
3: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22, 11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
4: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
5: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11, 20], [23, 16, 24, 19], [27, 21], [25, 26, 28], [31, 30, 34], [33], [32, 35, 37, 36]]
6: [[7, 17, 18, 9], [1, 4, 2], [3, 15, 13], [5, 12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16], [24, 19, 27], [21, 25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
7: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
8: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19], [27, 21], [25, 26, 28], [31, 30, 34], [33, 32], [35, 37, 36]]
9: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8, 22], [11, 20, 23], [16, 24, 19, 27], [21, 25, 26, 28], [31, 30, 34, 33, 32], [35, 37, 36]]
10: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12, 14], [29, 10, 6], [8, 22, 11], [20, 23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34, 33], [32, 35, 37, 36]]
11: [[7, 17, 18], [9, 1, 4], [2, 3, 15], [13, 5, 12], [14, 29, 10], [6, 8], [22, 11, 20], [23, 16, 24], [19, 27, 21], [25, 26, 28], [31, 30, 34], [33, 32, 35], [37, 36]]
