0: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 12], [7, 9, 17, 18, 15, 22, 13, 10, 14, 16], [21, 27, 26], [23, 28], [20, 25], [29, 24]]
1: [[5, 6], [2, 19], [3, 11], [1, 8, 4], [14, 7], [13, 17, 24], [12, 22], [10, 9], [15, 18], [21, 26], [28, 23, 16], [20, 27, 25, 29]]
2: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 15, 7, 9], [17, 18, 12, 14, 13, 10, 22, 16], [21, 27, 26, 23, 28, 20, 24, 29, 25]]
3: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 15, 7, 9], [17, 18, 12, 14, 13, 10, 22, 16], [21, 27, 26, 23, 28, 20, 24, 29, 25]]
4: [[5, 6], [2, 19, 3, 11, 1, 8], [4, 9, 17, 18, 15, 13, 7, 10, 14], [20, 16, 22], [27, 21], [23, 24, 12], [26, 25, 29, 28]]
5: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 7, 12, 9, 17, 13], [15, 16, 10, 14, 18], [23, 20, 22, 21, 24], [25, 26, 27, 29, 28]]
6: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 7, 12, 13, 17, 15, 9, 16, 10, 14, 18, 20], [21, 22, 28, 23, 24, 26, 25, 29, 27]]
7: [[5, 6, 2, 19], [3, 11, 1, 8, 4], [15, 7, 13, 25, 10, 9, 22, 12, 14, 18, 20], [17, 23, 28, 16], [21, 24, 27, 26, 29]]
8: [[5, 6], [2, 19], [3, 11, 1], [8, 4], [15, 7, 9, 17, 18, 13, 22], [10, 12, 14, 16], [21, 27, 23, 20, 28, 24, 26, 25, 29]]
9: [[5, 6], [2, 19], [3, 11, 1, 8, 4], [15, 9, 7, 23, 10, 29, 22, 12, 13, 14, 16, 21], [24, 18, 20, 17], [25, 27, 28, 26]]
10: [[5, 6], [2, 19, 3, 11, 1, 8], [4, 13, 7, 9, 17, 10, 15], [18, 12, 14, 22, 16, 21, 23], [20, 26, 28, 24, 25, 27, 29]]
11: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 13, 7, 9, 17, 10], [15, 22, 12, 14, 18, 16, 21, 23, 20, 27, 28, 26, 25, 24, 29]]
12: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 7, 13, 17, 9, 18, 15, 20, 16, 10, 12, 14], [27, 22], [26, 23, 24, 25, 29, 21, 28]]
13: [[5, 6], [2, 19], [3, 11], [1, 8, 4], [15, 12, 13, 17, 25, 7], [22, 10], [9, 14, 18, 20, 29], [26, 21, 24, 16, 27, 23, 28]]
14: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7, 9, 17, 14], [10, 12, 26, 20, 16, 13, 21, 15], [28, 23, 18, 22, 24, 27, 29, 25]]
15: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 12], [10, 13], [17, 14, 9, 22, 15, 7, 21, 16, 20, 18, 26, 23, 28, 24, 27, 25, 29]]
16: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7, 9, 16, 12, 10, 14, 23, 21, 13, 15, 22, 17, 28, 18, 25, 20, 29, 27, 26, 24]]
17: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7, 9, 17, 14], [10, 12, 26, 20, 16, 13, 21, 15], [28, 23, 18, 22, 24, 27, 29, 25]]
18: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 15], [7, 13, 9, 10, 12, 17, 14, 18], [22, 16, 21, 20, 23, 26, 27, 25, 24], [29, 28]]
19: [[5, 6], [2, 19, 3, 11, 1, 8], [4, 12, 9], [10, 17, 18], [15, 7], [13, 14], [22, 16], [23, 20, 26, 27, 28, 21, 25], [29, 24]]
20: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 12, 15, 9, 17, 18, 13, 14, 7, 10, 22, 16, 23, 25, 27, 21, 24, 20, 26, 29, 28]]
21: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 12], [7, 9, 18, 23, 15], [28, 14, 10, 13, 16, 22], [17, 20, 21, 24, 26, 27, 25, 29]]
22: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 13, 7, 9, 17, 10, 15, 18, 14, 12, 28, 16, 22, 21, 20, 27, 23, 26, 24, 25, 29]]
23: [[5, 6], [2, 19], [3, 11, 1, 8], [4, 7], [9, 13, 14, 25, 12, 10], [15, 21, 16, 20, 18, 22, 23, 17, 26, 27, 29], [28, 24]]
24: [[5, 6], [2, 19], [3, 11, 1], [8, 4, 14, 7, 9, 23, 10, 29, 20, 12, 13, 15, 18, 16, 24, 21, 22, 17, 25, 27, 28, 26]]
25: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 15, 9, 29, 17], [7, 14, 10, 13, 22, 12, 16], [18, 26, 23, 20], [24, 21, 27, 28, 25]]
26: [[5, 6, 2], [19, 3, 11, 1, 8, 4, 15, 7, 9, 25, 10, 13, 20, 12, 14, 22, 16, 17, 18, 29, 23, 21, 26, 27], [24, 28]]
27: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 15, 9, 29, 17], [7, 14, 10, 13, 22, 12, 16], [18, 26, 23, 20], [24, 21, 27, 28, 25]]
28: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 15, 12], [21, 9], [13, 7, 10, 14, 29, 17, 16, 18, 20, 23, 25, 22, 26, 28], [27, 24]]
29: [[5, 6], [2, 19], [3, 11], [1, 8, 4, 15, 9, 7, 22, 10, 13], [20, 14], [17, 12], [16, 21], [26, 18, 23, 24, 25, 27, 28, 29]]
30: [[5, 6], [2, 19], [3, 11, 1, 8], [4, 15, 7, 9, 16], [10, 12, 14, 13, 17], [20, 18, 22, 23, 21, 28, 24, 25, 26, 29, 27]]
31: [[5, 6], [2, 19, 3, 11, 1, 8], [4, 12], [9, 13], [17, 18, 14, 15, 7, 10, 21, 16], [22, 28, 26, 23, 24, 20, 29], [25, 27]]
32: [[5, 6], [2, 19, 3], [11, 1], [8, 4, 7, 10, 9, 17, 12], [15, 18, 13, 14, 22, 16, 20], [23, 26, 27, 28], [24, 25, 21, 29]]
33: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 13], [7, 9, 17], [21, 15, 20, 12, 10, 14, 16], [22, 23, 26, 18], [29, 24], [27, 25, 28]]
34: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 7, 15], [9, 12], [16, 13, 10], [14, 25, 17, 20], [22, 18], [29, 21, 24], [26, 23, 27, 28]]
35: [[5, 6], [2, 19], [3, 11, 1], [8, 4, 7, 13, 9], [17, 12, 15, 16, 10], [14, 18, 23, 22, 21], [20, 24, 25, 26], [27, 28, 29]]
36: [[5, 6, 2, 19], [3, 11, 1, 8, 4], [14, 7, 13, 25, 10, 9, 20, 12, 15, 16, 22, 18, 26, 29, 17, 21, 23, 24, 27, 28]]
37: [[5, 6], [2, 19], [3, 11], [1, 8], [4, 12], [13, 25], [7, 9], [15, 14], [10, 23, 17, 16, 29, 20, 21, 26, 24, 18, 22, 28, 27]]
38: [[5, 6], [2, 19, 3, 11, 1, 8], [4, 12], [9, 13], [17, 7, 15, 14, 10], [18, 20, 16], [22, 26, 21, 23], [24, 27, 25, 29, 28]]
39: [[5, 6], [2, 19], [3, 11, 1, 8, 4, 15, 7, 13], [9, 10, 17, 14, 12], [29, 22, 16, 21], [20, 18, 24, 23], [25, 27, 28, 26]]
