0: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 22, 23, 16, 24, 17], [21, 20, 29, 26, 25, 27, 28]]
1: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 20, 22, 17, 16, 23], [21, 28, 25, 26, 24, 27, 29]]
2: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 14], [5, 6, 10, 20, 22, 17, 16, 23], [21, 28, 25, 26, 24, 27, 29]]
3: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 12], [5, 6, 10, 22, 23, 16, 20, 17], [21, 28, 25, 26, 24, 27, 29]]
4: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 12, 20, 23, 16, 17, 22], [21, 28, 25, 26, 24, 27, 29]]
5: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 12, 16, 23, 20, 17, 22], [21, 29, 25, 26, 24, 27, 28]]
6: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 12, 22, 17, 16, 20, 23], [21, 28, 27, 26, 24, 25, 29]]
7: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 14, 5], [6, 10, 12, 22, 23, 20, 16, 17], [21, 29, 24, 26, 25, 27, 28]]
8: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 5], [6, 14, 10, 22, 23, 16, 24, 17], [21, 28, 25, 26, 20, 27, 29]]
9: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 5, 12], [6, 10, 14, 20, 23, 16, 17, 22], [21, 29, 25, 26, 24, 27, 28]]
10: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 12, 5], [6, 10, 14, 16, 23, 20, 17, 22], [21, 29, 25, 26, 24, 27, 28]]
11: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 14], [5, 6, 10, 20, 22, 16, 17, 23], [21, 28, 25, 26, 24, 27, 29]]
12: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 6, 5, 10], [12, 20, 16, 23, 17, 22], [21, 29, 24, 26, 27, 25, 28]]
13: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5, 6, 10], [12, 20, 16, 23, 17, 22], [21, 29, 24, 26, 25, 27, 28]]
14: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 5, 6, 10], [14, 20, 17, 22, 16, 23], [21, 29, 25, 26, 24, 27, 28]]
15: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 12, 10], [5, 14, 6, 16, 23, 17, 20, 22], [21, 29, 25, 26, 24, 27, 28]]
16: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 10], [5, 6, 12, 17, 16, 20, 22, 23], [21, 28, 24, 26, 27, 29, 25]]
17: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 5, 14], [6, 12, 10, 16, 17, 20, 22, 23], [21, 29, 25, 26, 27, 28, 24]]
18: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 14, 5], [10, 6, 12, 20, 23, 22, 17, 16], [21, 28, 25, 26, 24, 27, 29]]
19: [[18, 19, 9, 1, 2, 7], [15, 8, 3, 13, 4, 11, 5, 12], [6, 20, 16, 17, 24, 22, 10, 14], [21, 29, 23, 26, 28, 25, 27]]
20: [[18, 19, 9, 1, 2, 7, 15, 8], [3, 13, 4, 11, 6, 5, 10, 14], [12, 23, 16, 22, 29, 17], [20, 21, 24, 26, 25, 27, 28]]
