It No., Best MQ, No clusters, max clus, min clus
1,1.4072871572871573,4,5,2
2,1.1628787878787878,4,4,1
3,1.3910818713450293,5,3,2
4,1.3822638146167556,5,3,2
5,1.412121212121212,5,4,2
6,1.257703081232493,3,6,3
7,1.4203590527119938,4,5,2
8,1.371212121212121,4,6,2
9,1.3984189723320157,3,6,3
10,1.3795093795093796,4,6,2
11,1.4166666666666667,4,4,2
12,1.4968316707447142,4,4,2
13,1.4943064182194614,4,4,2
14,1.3690476190476188,4,4,3
15,1.2878787878787878,3,5,4
16,1.3984189723320157,3,6,3
17,1.4246031746031744,5,4,2
18,1.4099511599511598,4,5,2
19,1.3585858585858586,3,8,2
20,1.2731601731601732,4,5,2
21,1.3722527472527473,4,5,2
22,1.4272727272727272,4,5,2
23,1.2278244631185808,3,6,2
24,1.385064935064935,4,6,2
25,1.3482517482517482,4,4,3
26,1.5064935064935066,4,4,2
27,1.3795093795093796,4,6,2
28,1.375,4,4,3
29,1.4415584415584415,3,7,3
30,1.4591332580463017,4,4,3
31,1.2774294670846396,3,5,3
