0: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15, 11], [14, 8, 29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33, 34], [37, 36]]
1: [[9, 7], [20, 1, 6, 22], [3, 35, 2], [4, 13], [5, 19], [12, 15, 11], [14, 8, 29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
2: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15, 11], [14, 8, 29], [10, 18, 24], [17, 16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
3: [[9, 7, 20], [1, 6], [22, 3, 35], [2, 4], [13, 5, 19], [12, 15], [11, 14, 8], [29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
4: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15], [11, 14, 8, 29], [10, 18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
5: [[9, 7, 20, 1], [6, 22, 3, 35], [2, 4, 13], [5], [19, 12, 15], [11, 14, 8], [29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
6: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15], [11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
7: [[9, 7, 20], [1, 6, 22, 3], [35, 2, 4], [13, 5, 19], [12, 15, 11], [14, 8, 29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28, 31], [30, 32, 33], [34, 37, 36]]
8: [[9, 7, 20], [1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32, 33], [34, 37, 36]]
9: [[9, 7], [20, 1, 6, 22], [3, 35, 2, 4], [13, 5, 19, 12], [15, 11, 14, 8], [29, 10, 18], [24, 17], [16, 21, 23, 27], [26, 25, 28, 31], [30, 32, 33], [34, 37, 36]]
10: [[9, 7], [20, 1, 6, 22], [3, 35, 2], [4, 13], [5, 19, 12, 15], [11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
11: [[9, 7, 20], [1, 6, 22], [3, 35, 2], [4, 13, 5], [19, 12, 15, 11], [14, 8, 29], [10, 18, 24, 17], [16, 21, 23, 27], [26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
12: [[9, 7, 20, 1], [6, 22, 3], [35, 2, 4, 13], [5, 19, 12, 15], [11, 14, 8, 29], [10, 18, 24, 17], [16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
13: [[9, 7, 20], [1, 6, 22], [3, 35, 2, 4], [13, 5, 19], [12, 15, 11], [14, 8, 29, 10], [18, 24, 17], [16, 21, 23, 27], [26, 25, 28, 31], [30, 32, 33], [34, 37, 36]]
14: [[9, 7], [20, 1, 6, 22], [3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
15: [[9, 7], [20, 1], [6, 22, 3, 35], [2, 4, 13], [5, 19, 12], [15, 11, 14, 8], [29, 10, 18, 24], [17, 16, 21, 23], [27, 26, 25, 28], [31, 30, 32], [33, 34, 37, 36]]
