0: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34, 5], [35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58, 59], [49, 57]]
1: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
2: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
3: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
4: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
5: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
6: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
7: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
8: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
9: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
10: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
11: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
12: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
13: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
14: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
15: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
16: [[3, 60, 30], [31, 51, 40], [38, 44, 18], [13, 6, 21], [14, 8, 26], [24, 36, 12], [1, 54, 34], [5, 35, 2], [4, 7, 17], [11, 27, 25], [15, 16, 10], [52, 9, 55], [37, 42, 29], [19, 20, 32], [33, 45, 46], [23, 22, 28], [47, 41, 43], [53, 56, 50], [39, 48, 58], [59, 49, 57]]
