0: [[9, 19, 2, 1, 17], [7, 11], [4, 3, 14, 6, 10], [8, 12, 15, 20, 5, 13], [16, 18, 22], [21, 23, 24]]
1: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
2: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
3: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
4: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
5: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
6: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
7: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
8: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
9: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
10: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
11: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
12: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
13: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
14: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
15: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
16: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
17: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
18: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
19: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
20: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
21: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
22: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
23: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
24: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
25: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
26: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
27: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
28: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
29: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
30: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
31: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
32: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
33: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
34: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10, 13], [8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
35: [[9, 19, 1, 17, 2], [11, 5, 7, 4], [3, 14, 6, 10], [13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
36: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15], [20, 16, 18, 22], [21, 23, 24]]
37: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15], [20, 16, 18, 22], [21, 23, 24]]
38: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20, 16], [18, 22], [21, 23, 24]]
39: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10], [13, 8, 12, 15, 20, 16], [18, 22], [21, 23, 24]]
40: [[9, 2, 11, 1, 17], [5, 7, 4, 19], [3, 14, 6, 10, 13], [8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
41: [[9, 19, 2, 1, 17], [5], [7, 4, 3, 14, 6, 11], [10, 13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
42: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6], [10, 13, 8, 12, 15], [20, 16, 18, 22], [21, 23, 24]]
43: [[9, 19, 1, 17], [2, 5], [7, 4, 3, 14, 6, 11], [10, 13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
44: [[9, 19, 1, 17], [2, 5], [7, 4, 3, 14, 6, 11], [10, 13, 8, 12, 15, 20], [16, 18, 22], [21, 23, 24]]
45: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6], [10, 13, 8, 12, 15], [20, 16, 18], [22, 21, 23, 24]]
46: [[9, 19, 2, 1, 17], [5], [7, 4, 3, 14, 6, 11], [10, 13, 8, 12, 15], [20, 16, 18, 22], [21, 23, 24]]
47: [[9, 19, 2, 1, 17], [5], [7, 4, 3, 14, 6, 11], [10, 13, 8, 12, 15], [20, 16, 18], [22, 21, 23, 24]]
48: [[9, 19, 2, 1, 17], [5, 7, 11], [4, 3, 14, 6, 10, 13], [8, 12, 15, 20, 16], [18, 22, 21], [23, 24]]
49: [[9, 19, 1, 17, 2], [11, 5, 7, 4], [3, 14, 6, 10, 13], [8, 12, 15, 20, 16], [18, 22, 21], [23, 24]]
