0: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
1: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
2: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
3: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
4: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
5: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
6: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
7: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
8: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
9: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
10: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
11: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
12: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
13: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
14: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
15: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
16: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
17: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
18: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
19: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
20: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
21: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
22: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
23: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
24: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
25: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
26: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
27: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
28: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
29: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
30: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
31: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
32: [[3, 19, 1, 9, 22], [2, 5, 7, 10], [4, 6, 8, 13, 12], [11], [15, 18, 16, 17], [20, 25], [24, 29, 21, 23, 14], [26, 27], [28]]
