0: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [9, 29, 16, 18, 13, 19, 10, 12, 22, 14], [20, 25], [23, 28, 24]]
1: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8], [11, 9, 14, 10], [13, 12, 22, 16], [18, 19, 24], [23, 28, 29, 20, 25]]
2: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [9, 13, 16, 25, 10, 19, 12, 18, 22, 14], [20, 23], [29, 28, 24]]
3: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 9, 11, 8, 10], [16, 13, 20, 19, 22, 23, 12], [14, 18, 24, 29, 28, 25]]
4: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8, 11], [9, 13, 10], [16, 20, 18, 19, 23, 24, 28, 25, 29, 12, 22, 14]]
5: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 8], [11, 10, 12], [9, 13, 14], [22, 16, 24, 23, 19, 18], [28, 20, 25, 29]]
6: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 12, 9, 11, 8, 10, 13, 14], [16, 22, 20, 23, 18, 19, 24, 28, 29, 25]]
7: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [9, 11, 8, 10, 16], [13, 20, 19, 22, 23, 12], [14, 18, 24, 29, 28, 25]]
8: [[27, 21, 26], [17, 15, 1, 6, 2, 5], [7, 3, 4, 8, 11, 10, 12, 16, 13, 18, 22, 9, 19, 14, 28, 20, 23, 29, 24, 25]]
9: [[27, 21, 26], [17, 15, 1], [6, 2, 5, 7], [3, 4, 8], [13, 11, 9], [24, 19, 20, 10, 14], [18, 23, 28, 16, 29, 25, 12, 22]]
10: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4, 8, 9, 11, 10, 12, 13, 14, 23], [22, 16, 18, 20, 19, 24, 29, 25, 28]]
11: [[27, 21, 26], [17, 15, 1], [6, 2, 5], [7, 3, 4], [8, 11, 9, 10, 24, 12, 13, 18, 14, 22, 19, 16, 20, 25, 23, 29, 28]]
