0: [[12, 7], [3, 1, 5, 2], [4, 6, 9, 8, 10, 11], [13]]
1: [[12, 7], [3, 1, 2, 5], [4, 6, 9, 8, 10, 11, 13]]
2: [[12], [3, 1, 5, 2], [4, 6, 9, 8, 10], [11, 13, 7]]
3: [[12], [3, 1, 5, 4, 2], [6, 9, 8, 10, 11], [13, 7]]
4: [[12], [3, 1, 5, 2], [4, 6, 9, 8], [10], [11, 13, 7]]
5: [[12, 7], [3, 1, 5, 2], [4, 6, 9], [8, 10, 11, 13]]
6: [[12], [3, 1, 5, 2], [4, 6, 9, 8], [10, 11], [13, 7]]
7: [[12, 7], [3, 1], [2, 5, 4], [6, 9, 8, 10, 11], [13]]
8: [[12, 7], [1, 5, 3, 2], [4], [6, 9, 8, 10, 11, 13]]
9: [[12], [3, 1, 5], [4, 6], [9, 8, 10, 2], [11, 13, 7]]
10: [[12], [3, 1, 5, 2], [4, 6], [9, 8, 10, 11], [13, 7]]
11: [[12, 7], [3, 1, 2, 5, 4, 6], [9, 8, 10, 11, 13]]
12: [[12, 7], [3, 1], [2, 5], [4, 6, 9, 8], [10, 11], [13]]
13: [[12, 7, 3, 1, 2], [5], [4, 6, 9, 8, 10, 11, 13]]
14: [[12, 7], [3, 1, 2, 5, 4, 6, 9, 8, 10], [11, 13]]
15: [[12], [3, 1, 5, 4, 2], [6, 9, 8], [10, 11], [13, 7]]
16: [[12, 7], [3], [1, 2, 5, 4, 6, 9, 8, 10, 11, 13]]
17: [[12], [3, 1, 5, 4, 6, 9, 8, 10], [11, 13, 7, 2]]
18: [[12, 7], [3, 1], [2, 5, 4, 6], [9, 8, 10, 11], [13]]
19: [[12], [7, 3, 1, 2, 5, 4, 6, 9, 8, 10, 11, 13]]
20: [[12, 7], [3, 1], [2, 5], [4, 6], [9, 8, 10, 11, 13]]
21: [[12], [7, 3, 1, 2, 5, 4, 6, 9, 8, 10, 11], [13]]
22: [[12, 7], [3, 1], [2, 5], [4, 6, 9], [8, 10], [11], [13]]
23: [[12, 7], [3, 1], [2, 5], [4, 6, 9], [8, 10], [11, 13]]
24: [[12], [7, 3, 1, 2, 5, 4, 6, 9, 8, 10, 11], [13]]
25: [[12], [7, 3, 1, 2, 5, 4, 6, 9, 8, 10, 11], [13]]
26: [[12], [1], [5, 4, 6, 3], [9, 8, 10, 2], [11], [13, 7]]
27: [[12], [3, 1], [5, 4, 6, 2], [9, 8], [10, 11, 13, 7]]
