0: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 5, 14, 12, 6, 10, 21], [29, 9, 8, 31, 15, 23, 24, 17, 16], [28, 22], [19, 25, 20, 30, 26, 37, 36, 32, 41, 33], [39, 34], [47, 45], [38, 43, 44, 40, 42, 46, 51, 52, 48, 18], [49, 57], [50, 53, 55, 54, 56, 59, 60, 58]]
1: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 5, 14, 12, 6, 10, 21], [29, 9, 8, 31, 15, 23, 24, 17, 16], [28, 22], [19, 25, 20, 30, 26, 37, 36, 32, 41, 33], [39, 34], [47, 45], [38, 43, 44, 40, 42, 46, 51, 52, 48, 18], [49, 57], [50, 53, 55, 54, 56, 59, 60, 58]]
2: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5], [9, 12, 14, 10, 15], [18, 30, 17], [19, 16, 20, 23], [22, 24, 26, 28, 25], [29, 31, 32], [46, 33, 34, 39, 36], [41, 37, 42], [38, 40, 43, 44], [45, 47, 51], [50, 52, 48], [57, 49, 55, 53], [58, 54, 56, 59, 60]]
3: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [9, 12, 4], [10, 8, 14, 18, 15], [24, 17, 22, 19, 20, 25], [16, 23, 28, 30, 26, 29, 31, 37], [32, 39, 34, 33, 38], [42, 36, 45, 40, 44], [41, 43, 48], [47, 52, 51, 50], [46, 55], [49, 57, 54, 58], [53, 56, 60, 59]]
4: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 8, 5, 21, 6], [26, 12, 9, 30, 25, 14, 17, 24, 15, 16, 23, 19, 20, 29, 10], [22, 31, 53, 28, 40, 34, 36, 33, 37, 32, 38, 42, 44, 39, 41, 18], [43, 46, 47, 49, 45, 48, 55, 56, 54, 50, 51, 52, 57, 60, 59, 58]]
5: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [8, 12, 5, 10, 9], [14, 15, 26, 31, 22, 16, 18, 30, 17, 19, 20, 24, 23, 25, 29, 56, 47, 28, 33, 34, 39, 32, 38, 42, 44, 37, 36, 45, 43, 40, 54, 41, 52, 51, 48], [60, 58, 55, 46, 49, 59, 50, 53, 57]]
6: [[27, 11, 35], [7, 2, 1, 3, 5], [13, 21, 6, 25, 4], [10, 14, 9, 8, 12], [16, 15, 18, 19, 17, 20, 22], [23, 31, 26, 24, 28], [29, 47, 30], [39, 32, 34, 37, 38], [36, 43, 33], [40, 45, 42, 41, 46], [44, 55, 50], [48, 49, 57, 52, 53], [51, 60, 58, 54, 56, 59]]
7: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6], [8, 5, 12], [9, 10, 14, 15, 17, 16, 18], [31, 19, 20, 24, 30], [23, 25, 22], [28, 29, 42], [26, 32, 36, 33, 37, 34, 38, 39], [47, 40, 45, 41, 44, 43, 55, 54, 48, 50, 51, 56, 59, 49, 46, 52, 53, 57, 58, 60]]
8: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 8, 5, 20, 21, 6], [26, 9, 14, 15, 30, 16, 22, 19, 12, 23, 17, 18, 24, 31, 25, 28, 42, 29, 44, 32, 34, 33, 37, 38, 39, 47, 43, 36, 40, 41, 45, 46, 60, 53, 10], [50, 56, 49, 59, 55, 51, 52, 54, 48, 58, 57]]
9: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [12, 5, 9, 14, 25, 10, 8, 22, 15, 16, 17, 23, 19, 20, 18, 29, 26, 28, 30, 24, 31, 47, 34, 33, 32, 39, 38, 40], [36, 43, 37, 41, 42], [45, 44, 46, 48, 50, 49, 52, 51, 54, 53, 59, 55, 58], [57, 56, 60]]
10: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6], [8, 4, 12, 10, 25, 14], [9, 16, 22, 15, 17, 19, 20, 23, 18, 24, 30, 29, 28], [26, 46, 31, 32, 37], [33, 38, 45, 34, 39, 36, 40, 41, 42, 44, 43], [47, 54, 48, 51, 49, 52, 53, 50, 55, 56, 59, 60, 57, 58]]
11: [[27, 11, 35, 7, 2], [1, 3, 5], [13, 21, 6, 9], [4, 10, 14, 12, 28, 18, 15, 17, 8], [20, 19, 24, 16, 26], [23, 25, 22, 30], [29, 42, 41, 31, 32, 38, 33, 37, 39, 34, 43, 36, 40, 45, 46, 44, 54, 53, 49], [48, 50, 51, 47, 52, 55, 56, 58, 60, 57, 59]]
12: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 28], [5, 12, 9], [10, 14, 8, 18, 23, 15], [19, 31, 16, 20, 30, 17, 26, 25, 24, 22, 41, 29, 32], [36, 33, 37, 34, 44], [43, 39, 38], [40, 42, 56, 46, 45], [51, 49, 55, 47, 48, 50, 53, 52, 60, 57, 54, 58, 59]]
13: [[27, 11, 35], [7, 2, 1, 3], [5, 13, 21, 6], [8, 4, 25], [12, 9, 15, 17], [10, 14, 16], [19, 18, 20, 22, 29], [23, 28, 24, 31, 30], [37, 26, 39, 32, 34], [33, 38, 36], [42, 41, 40, 45, 44], [43, 46, 47], [48, 53, 49, 54, 57], [52, 51, 55], [60, 58, 56, 50, 59]]
14: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6], [8, 5, 9], [14, 10, 12], [15, 17, 16, 18, 23], [19, 20, 22, 24, 26, 30, 31, 29, 25], [28, 40, 36], [33, 34, 39], [32, 38, 41, 37, 47], [42, 44, 54, 43, 45, 46, 48], [53, 51, 49, 55, 52, 60, 56, 57, 58, 50, 59]]
15: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [6, 12, 4, 9, 14, 25, 10, 15, 31, 8, 17, 19, 16, 18, 22, 20, 28, 26, 24, 23, 29, 46, 30, 40, 33, 36, 42, 34], [32, 39, 43, 45, 41, 44, 38, 37], [47, 54], [52, 48, 49, 51, 53, 50, 55, 59, 56, 57, 58, 60]]
16: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 9, 5], [14, 10, 15, 12, 23, 17, 22, 19, 20, 18, 16, 25, 26, 24, 29, 31, 30, 28, 46, 8, 57, 32, 36, 34, 37, 33, 42, 39, 45, 43], [44, 51, 50, 40, 54, 38, 56, 48, 53, 49, 47], [41, 52, 58, 55, 59, 60]]
17: [[27, 11, 35, 7, 2, 1, 3], [5, 13, 21, 6, 29, 4, 14, 10, 8, 9, 15, 12, 16, 24, 17, 19, 20, 23, 18, 22, 25, 26, 28, 30, 31, 37, 38, 32, 40, 33, 34, 47, 42, 41, 36, 45, 39, 50, 46, 44, 48, 43, 54, 56, 53, 55, 52], [51, 49, 60, 57, 58, 59]]
18: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 25, 5], [9, 8, 14, 10, 12, 16, 15, 17, 19], [18, 23, 29, 24, 20, 30, 31, 26, 28, 41, 40, 22, 33, 34, 39, 37, 38, 46, 32, 36, 42, 44, 45, 47, 43, 49, 56, 50, 48, 54, 51, 53, 52, 55, 58], [57, 59, 60]]
19: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 24, 5, 8], [12, 14, 9, 15, 16, 10, 19, 17, 20, 18], [22, 23, 25, 26, 28, 30, 31, 39, 29, 47, 33, 32, 34, 36, 40, 38, 42, 37, 43, 41], [44, 46, 45, 49, 50, 53, 51, 52, 54, 48], [56, 57, 55, 58, 59, 60]]
20: [[27, 11, 35, 7, 2, 1], [3, 5, 13, 8, 21, 6], [4, 12, 30], [9, 14, 10, 19, 15], [17, 24, 16, 22, 23, 18, 25, 20, 26], [28, 29, 41, 31, 33, 37], [38, 32], [34, 36, 39, 42, 40, 43], [45, 44, 46, 48, 52], [54, 47, 50, 57, 49], [56, 51, 53, 55, 58, 59, 60]]
21: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6, 25], [4, 12, 14, 9, 10], [8, 31, 23], [15, 18, 16, 17], [19, 20, 22, 26, 24, 28, 30, 41, 29, 37, 33, 32, 38, 39, 44, 43, 34, 36, 40, 45, 56, 42, 46, 51, 49, 55, 47, 50, 48, 53, 54, 60, 57, 52, 58, 59]]
22: [[27, 11, 35, 7, 2], [1, 3], [4, 13, 21, 6, 8], [5, 9, 14, 10, 12, 22, 16, 23, 25, 15, 17, 24, 18, 19, 20, 29, 28], [26, 30, 55, 38, 31, 33, 36, 47, 40, 34, 37, 42], [32, 39, 41, 45, 50, 46], [44, 43, 52, 53, 59, 54, 56, 48, 51, 58, 49, 57, 60]]
23: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21], [6, 8, 4], [12, 9, 14], [10, 15, 18], [17, 22, 23], [16, 24, 28, 19, 20], [30, 31, 25, 26, 32, 29, 45, 33, 43, 36, 34, 37, 39, 47, 41, 44, 38, 40, 55, 42, 54, 50, 52], [49, 56, 53, 51, 46, 58, 59, 57], [48, 60]]
24: [[27, 11, 35, 7, 2], [1, 3, 5, 13, 21, 6], [24, 4, 9, 12, 10, 8, 15, 16, 26, 22, 17, 20, 14], [18, 19, 29, 28, 23], [25, 30, 31, 36, 37, 33, 32, 34, 39, 42, 47, 44, 45, 38, 41, 43], [46, 48, 55, 49, 54, 40, 50, 53, 51, 57, 52, 56, 59, 58], [60]]
25: [[27, 11, 35, 7, 2], [1, 3, 4, 13, 21, 6, 8, 5, 12, 10, 9, 14, 15, 17, 22, 16, 20, 19, 18, 24], [29, 31, 23, 25, 26, 28, 47, 30, 56, 32, 37, 34, 36, 38, 44, 40, 39, 43, 42, 45, 41, 46, 48, 33, 52], [51, 54, 49, 50, 55, 53, 57, 59, 58, 60]]
26: [[27, 11, 35, 7, 2], [1, 3, 4], [13, 21, 6, 8, 5], [9, 12, 10, 19, 30, 25, 14, 17, 23], [18, 15, 22, 16, 26, 20, 29, 24, 31], [52, 28, 44], [33, 36, 32], [37, 38, 34, 39, 47], [42, 41, 43, 46, 45, 54, 40], [48, 51, 56, 49, 53, 50, 55, 57, 60, 58, 59]]
