0: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
1: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
2: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
3: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
4: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
5: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
6: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
7: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
8: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
9: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
10: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
11: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
12: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
13: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
14: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
15: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
16: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
17: [[6, 9], [7, 13], [2, 12, 3, 1, 5, 4, 10], [11, 8]]
18: [[6, 9], [7, 13, 2, 12, 3, 1, 5], [4, 10], [11, 8]]
19: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
20: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
21: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
22: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
23: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
24: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
25: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
26: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
27: [[6, 9, 7, 13, 2, 12, 3], [1, 5], [4, 10], [11, 8]]
