0: [[11, 1, 3], [8, 10], [5, 7, 2, 4], [12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
1: [[11, 1, 3], [8, 10], [5, 7, 2, 4], [12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
2: [[11, 1, 3], [8, 10], [5, 7, 2, 4], [12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
3: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [14, 6, 15, 16], [17, 18, 19, 20]]
4: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
5: [[11, 1, 3, 8], [7, 5, 10, 2], [12, 4, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
6: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
7: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
8: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
9: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
10: [[11, 1, 3, 8], [7, 5, 2, 10], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
11: [[11, 1, 3, 8], [7, 5, 2, 10], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
12: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
13: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
14: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
15: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
16: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
17: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
18: [[11, 1, 3, 8], [7, 5, 2, 10], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
19: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
20: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
21: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
22: [[11, 1, 3], [8, 10], [5, 7, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
23: [[11, 1, 3], [8], [5, 2, 4, 10, 7], [12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
24: [[11, 1, 3], [8, 5, 10], [2, 4, 7], [12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
25: [[11, 1, 3], [8, 7], [5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16], [17, 18, 19, 20]]
26: [[11, 1, 3], [8, 10], [5, 7, 4, 2], [12, 9, 13, 6], [14, 15, 16, 17, 18, 19, 20]]
27: [[11, 1, 3, 8, 10], [5, 14, 2, 4], [12, 9, 13, 7], [6, 15, 16], [17, 18, 19, 20]]
28: [[11, 1, 3], [8, 6], [5, 7, 2, 4], [12, 9, 13, 10], [14, 15, 16], [17, 18, 19, 20]]
29: [[11, 1, 3], [8, 10], [5, 6, 2], [4, 12, 9, 13], [7, 14, 15, 16], [17, 18, 19, 20]]
30: [[11, 1, 3], [8, 10, 5], [7, 2, 4], [12, 9, 13, 6], [14, 15, 16, 17], [18, 19, 20]]
31: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13, 6, 14, 15, 16, 17, 18, 19, 20]]
32: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13, 6, 14, 15, 16, 17, 18, 19, 20]]
33: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9], [13, 6, 14, 15], [16, 17, 18, 19, 20]]
34: [[11, 1, 3, 8], [7, 5, 10, 2], [4, 12, 9, 13], [6, 14, 15, 16, 17, 18, 19], [20]]
35: [[11, 1, 3, 8], [7, 5], [10, 2, 4, 12], [9, 13, 6, 14], [15, 16, 17, 18, 19, 20]]
36: [[11, 1, 3, 8], [6, 5, 7, 2], [4, 12, 9, 13], [10, 14, 15, 16, 17, 18, 19, 20]]
37: [[11, 1, 3, 8], [7, 5, 2], [10, 4, 12, 9], [13, 6, 14, 15], [16, 17, 18, 19, 20]]
38: [[11, 1, 3], [8, 6, 5], [7, 2, 4], [12, 9, 13], [10, 14, 15, 16], [17, 18, 19, 20]]
39: [[11, 1, 3], [8, 6, 5], [7, 2], [4, 12, 9, 13], [10, 14, 15, 16, 17, 18, 19, 20]]
