0: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12], [5, 11, 7, 9, 23, 16, 22, 10], [28, 29, 24, 19, 18, 14], [20, 25], [21, 27, 26]]
1: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 11], [12, 7, 9, 23, 16, 22, 28, 20, 29, 10, 19, 25, 14, 18, 24], [21, 27, 26]]
2: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 5, 15, 11, 9, 10, 19], [24, 12, 14, 16, 18, 23, 22, 20, 25, 28, 29], [21, 26, 27]]
3: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 7, 11, 10, 12, 22], [24, 9, 28, 14, 16, 18, 19, 23, 20, 25, 29], [21, 27, 26]]
4: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 10, 11, 7, 9, 22], [24, 12, 14, 28, 16, 18, 19, 23, 20, 29, 25], [21, 27, 26]]
5: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 7, 9], [11, 5, 14, 23, 16, 18, 10, 28, 25, 12, 19, 22, 20, 29, 24], [21, 27, 26]]
6: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 5, 11, 7, 9, 23], [16, 22, 10, 24, 29, 28, 19, 14, 18, 20, 25], [21, 26, 27]]
7: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 7, 11, 5, 9, 23], [24, 22, 10, 28, 14, 16, 18, 19, 29, 20, 25], [21, 26, 27]]
8: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 5, 11, 7, 9, 23], [24, 10, 14, 20, 28, 16, 22, 18, 19, 29, 25], [21, 26, 27]]
9: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 7], [11, 9, 20, 22, 24, 10, 28, 12, 14, 16, 23, 18, 19, 25, 29], [21, 27, 26]]
10: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 7], [11, 9, 14, 23, 24, 10, 12, 20, 18, 16, 19, 22, 28, 29, 25], [21, 27, 26]]
11: [[17, 2, 4, 6, 1, 3, 13, 8, 14, 9, 5, 11, 7, 12, 19], [24, 10, 15, 16, 18, 22, 28, 23, 20, 29, 25], [21, 26, 27]]
12: [[17, 2, 4, 6, 1, 3, 13, 8, 12], [15, 5, 11, 7, 9, 23, 16, 22, 10], [25, 29, 24, 19, 18, 14], [20, 28], [21, 26, 27]]
13: [[17, 2], [4, 6, 1, 3, 13, 8, 15, 9, 5, 11, 10, 12], [7, 16, 23, 24, 29, 14], [18, 19, 22, 20, 28, 25], [21, 27, 26]]
14: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 7, 5, 11, 9, 10, 23], [20, 12, 14, 16, 18, 24, 19, 25, 22, 28, 29], [21, 27, 26]]
15: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 10, 11, 7, 9, 23], [16, 18, 14, 12, 20, 24, 19, 22, 28, 29, 25], [21, 27, 26]]
16: [[17, 2, 4, 6, 1, 3, 13, 10, 5, 9, 14], [11, 7, 8, 22, 24, 15, 12, 20, 28, 18, 16, 23, 19, 29, 25], [21, 27, 26]]
17: [[17, 2, 4, 6, 1, 3, 13, 8, 12], [15, 7, 9, 11, 5], [22, 20], [18, 24, 16, 23, 19, 28, 29, 25, 10, 14], [21, 27, 26]]
18: [[17, 2, 4, 6, 1, 3, 13, 8, 14, 9, 5], [11, 7, 12, 19, 24, 10, 15, 16, 18, 22, 28, 23, 20, 29, 25], [21, 26, 27]]
19: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 7, 5, 11, 9, 14, 23], [16, 10, 12, 20, 22, 18, 19, 25, 24, 28, 29], [21, 27, 26]]
20: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 9, 11, 7, 14, 23], [24, 12, 10, 28, 16, 20, 19, 22, 18, 29, 25], [21, 26, 27]]
21: [[17, 6, 4, 1, 7, 13, 8, 12], [5, 9, 11, 15, 3, 23, 16, 10], [18, 22, 20, 19, 25, 24, 2, 14], [28, 29], [21, 26, 27]]
22: [[17, 2], [4, 6, 1, 3, 13, 8, 15, 12, 7, 11], [5, 9, 23, 24, 22, 10, 20, 18], [16, 14, 19, 25, 28, 29], [21, 27, 26]]
23: [[17, 2, 4, 6, 1, 3, 13, 8, 14, 5, 7], [11, 9, 15, 23, 16, 10, 22, 20, 24, 12, 18, 19, 28, 29, 25], [21, 26, 27]]
24: [[17, 2, 4, 6, 1, 3, 13, 8], [5, 9, 11, 7, 10, 19, 24, 12, 15, 14], [20, 16, 22, 18, 23, 28], [29, 25], [21, 26, 27]]
25: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12], [5, 11, 7, 9, 19, 24, 22, 10], [28, 18, 16, 26, 23, 14], [20, 25], [21, 27, 29]]
26: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 7, 11, 9, 20, 23], [24, 10, 14, 12, 28, 16, 22, 18, 19, 25, 29], [21, 26, 27]]
27: [[17, 2, 4, 6, 1, 3], [13, 8, 15, 5, 11, 7, 9, 12], [23, 16, 18, 21, 24, 19, 22, 28, 10, 14], [20, 25], [29, 27, 26]]
28: [[17, 2, 4, 7, 1, 3, 12, 9, 15, 8, 6], [10, 5, 11, 18, 24, 14, 13, 20, 16, 19, 23, 22, 26, 28, 25], [21, 29, 27]]
29: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 9, 5, 11, 12, 10, 19], [24, 14, 15, 28, 16, 22, 20, 21, 18, 23, 25], [29, 26, 27]]
30: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 5], [11, 7, 9, 23, 24, 14, 10, 28, 18, 16, 26, 22, 19, 20, 29], [21, 27, 25]]
31: [[17, 2, 4, 6, 3, 1, 13, 8, 15, 5, 12], [11, 7, 9, 26, 10, 14, 19, 18, 22, 20, 16, 28, 23, 24, 29], [21, 25, 27]]
32: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 9, 11, 7, 5, 23], [16, 18, 14, 10, 20, 28, 19, 21, 22, 24, 25], [29, 27, 26]]
33: [[17, 2, 6, 1, 3, 4, 13, 8, 14, 5, 11], [10, 7, 9, 25, 18, 12, 15, 20, 22, 16, 19, 23, 26, 24, 28], [21, 27, 29]]
34: [[17, 2, 4, 5, 1, 3, 13, 8, 15, 7, 9], [6, 11, 14, 21, 24, 18, 10, 25, 28, 12, 19, 16, 20, 22, 23], [29, 27, 26]]
35: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 11], [12, 7, 9, 19, 24, 14, 18, 21, 10, 16, 23, 20, 22, 29, 28], [25, 27, 26]]
36: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 5, 11, 7, 10, 23], [16, 18, 14, 9, 19, 20, 24, 22, 28, 27, 25], [21, 26, 29]]
37: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 12], [11, 7, 9, 23, 16, 18, 14, 10, 21, 20, 19, 22, 24, 29, 25], [28, 26, 27]]
38: [[17, 2, 4, 5, 3, 1, 13, 8, 15, 6, 10, 11, 7, 9, 23], [16, 14, 28, 20, 18, 12, 19, 22, 24, 27, 25], [21, 26, 29]]
39: [[17, 2], [4, 6, 1, 3, 13, 8, 12], [15, 11, 5, 9, 7, 22, 20], [16, 28, 26, 24, 19, 18, 23, 29, 10, 14], [21, 27, 25]]
40: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 12], [7, 11, 9, 23, 24, 10], [18, 19, 16, 20, 21, 29, 14], [22, 25], [28, 27, 26]]
41: [[17, 2, 6, 1, 4, 3, 13, 12], [8, 5, 9, 15, 7, 24], [18, 11, 28, 21, 20, 16, 22, 23, 10, 14], [19, 25], [29, 27, 26]]
42: [[17, 2, 4, 6, 3, 5, 13, 8, 12], [7, 9], [1, 19, 24, 22, 14], [15, 27, 20, 16, 25, 28, 18, 23, 11, 10], [21, 29, 26]]
43: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 11, 9], [7, 5, 14, 23, 16, 26, 12, 10, 25, 20, 19, 18, 22, 28, 29], [21, 27, 24]]
44: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 5, 7, 9, 29, 23], [16, 18, 14, 10, 20, 22, 19, 11, 25, 24, 21], [28, 27, 26]]
45: [[17, 2, 4, 6, 1, 3, 13, 8, 14, 5, 7], [11, 15, 9, 22, 24, 10, 26, 18, 16, 20, 29, 23, 19, 25, 12], [21, 28, 27]]
46: [[17, 2, 4, 6, 3, 1, 13, 8, 12], [15, 5, 9, 7, 10], [11, 16, 18, 19, 22, 20, 23, 21, 25, 14], [29, 24], [28, 26, 27]]
47: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 12, 5, 11, 9, 10, 23], [24, 14, 26, 28, 15, 16, 18, 22, 29, 19, 25], [21, 27, 20]]
48: [[17, 2, 4, 6, 1, 7, 13, 8, 12], [3, 5, 9, 11, 29, 22, 16, 26, 10, 14], [15, 20, 24, 18, 19], [23, 25], [21, 27, 28]]
49: [[17, 2, 6, 1, 4, 7, 13, 8, 10, 9, 5, 3, 11, 29, 25], [16, 14, 12, 23, 28, 15, 18, 19, 20, 22, 21], [24, 27, 26]]
50: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 14, 5, 11, 15, 9, 28], [16, 18, 12, 26, 25, 10, 20, 19, 24, 22, 29], [21, 27, 23]]
51: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 9, 5], [11, 10, 14, 23, 24, 12, 28, 20, 27, 16, 22, 18, 15, 29, 25], [21, 26, 19]]
52: [[17, 2, 4, 6, 3, 1, 13, 8], [5, 9, 15, 7, 12, 20], [26, 11, 18, 19, 16, 23, 22, 24, 10, 14], [25, 29], [21, 28, 27]]
53: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 12, 9], [11, 7, 5, 24, 18, 26, 10, 22, 14, 16, 20, 27, 19, 25, 23], [21, 28, 29]]
54: [[17, 2, 4, 6, 1, 3, 13, 8, 14, 12, 5], [11, 7, 9, 19, 24, 10, 27, 16, 15, 18, 26, 22, 21, 28, 25], [20, 23, 29]]
55: [[17, 2, 4, 6, 1, 3, 13, 8, 5, 10, 15, 7, 9, 12, 22], [24, 14, 11, 18, 20, 26, 16, 23, 29, 21, 25], [28, 27, 19]]
56: [[17, 2, 4, 6, 1, 3, 13, 8, 7, 5, 10], [11, 15, 9, 23, 16, 18, 14, 19, 12, 20, 22, 27, 24, 25, 21], [29, 26, 28]]
57: [[17, 2, 4, 5, 1, 3, 13, 8, 15, 7, 6], [11, 9, 12, 21, 16, 14, 18, 20, 22, 10, 19, 24, 25, 27, 23], [28, 29, 26]]
58: [[17, 2, 4, 6, 1, 3, 13, 8, 10, 14, 5, 11, 12, 15, 22], [24, 19, 7, 16, 20, 18, 21, 23, 27, 29, 9], [25, 28, 26]]
59: [[17, 2, 4, 6, 1, 3, 13, 8, 15, 5, 7], [11, 9, 10, 19, 28, 12, 14, 24, 18, 26, 16, 20, 21, 22, 25], [23, 27, 29]]
