0: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13, 50, 17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1, 28, 10, 18], [40, 24, 23, 12], [25, 41], [31, 33], [36, 37, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57], [52, 56], [60, 58]]
1: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17, 21], [42, 6, 10], [9, 8], [11, 30, 3], [51, 14], [15, 16, 18], [5], [1, 28, 4], [40, 24, 12], [23, 56], [25, 41], [31, 33, 36], [37, 44, 46, 29], [27, 43], [19, 20, 32], [45, 53], [55, 49, 57], [52, 59, 60, 58]]
2: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17, 42], [9, 6, 21], [8, 11], [30, 3, 51], [14, 29, 15], [16, 10, 18], [5, 1, 28], [40, 24, 4], [12, 23, 25], [41, 31, 33], [36, 37], [44, 46], [27, 43, 19], [20, 32, 59], [53, 45, 55], [49, 57], [52, 56], [60, 58]]
3: [[7, 35], [2, 22, 54], [48, 38, 47], [34, 26, 39], [13, 50], [17, 42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 16, 5, 1, 28, 10, 18], [40, 24, 23, 12], [25, 41], [31, 33], [36, 37, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57], [52, 56], [60, 58]]
4: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 4, 15], [10, 18, 16], [5, 1, 28], [40, 29, 24], [23, 12], [25], [41, 31, 33], [37], [36, 44], [46, 27, 43], [19, 20, 32], [59, 45, 53], [55, 49, 57], [52, 56, 60, 58]]
5: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50, 17], [42, 6, 21], [9, 8], [11, 30, 3], [51, 14], [29, 15, 16], [10, 18, 5, 1], [28], [40, 24, 4, 12], [23, 25, 41], [31, 33, 36, 37], [44, 46, 27, 43], [19, 20, 32], [59, 45], [53, 55], [49, 57, 52], [56, 60, 58]]
6: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39, 13], [50, 17], [42, 6, 21], [9, 8], [11, 30, 3], [51, 14], [15, 16, 4, 10, 18], [5, 1], [28, 40, 24, 12], [23], [25, 41, 33], [31, 36], [37, 29], [44, 46], [27, 43, 19], [20, 32, 59], [45, 53, 55], [49, 57, 52, 56], [60, 58]]
7: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11, 30], [3, 51, 14, 4], [15, 16, 10], [18, 5], [1, 28, 40], [24, 12, 23, 25], [41, 33, 31, 36], [37, 29, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45], [55], [49, 57, 52], [56, 60, 58]]
8: [[7, 35], [2, 22, 54], [48, 38], [47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 4, 15], [16, 10, 18], [5, 1, 28], [40, 24, 12], [23, 25, 41], [33, 31], [36, 37, 29, 44], [46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57], [52, 56], [60, 58]]
9: [[7, 35, 2], [22, 54], [48, 38, 47], [34, 26, 39], [13, 50], [17, 42], [6, 21], [9, 8, 11], [30, 3, 51], [14, 29, 4], [15, 10, 16], [5, 1], [28, 18], [40, 24], [12, 23, 56], [25, 41, 31], [33, 37, 44, 46], [27, 43, 19], [20, 32, 59, 45], [53, 55, 49, 57], [52, 36, 60, 58]]
10: [[7, 35, 2], [22, 54, 48], [38, 47, 34], [26, 39], [13, 50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 29], [15, 16, 10], [18, 5, 1], [28, 40], [24, 12, 23], [25, 41, 33], [31, 36, 37], [4, 44, 46], [27, 43, 19, 20], [32, 59], [53, 45, 55], [49, 57, 52], [56, 60, 58]]
11: [[7, 35, 2], [22, 54, 48], [38, 47], [34, 26], [39, 13], [50, 17], [42, 6, 10], [21, 8, 11], [30, 3, 51], [14, 29, 15], [16, 9, 18], [5, 1, 28], [40, 24], [4, 12, 23], [25, 41], [31, 33], [37, 36, 44, 46], [27, 43], [19, 20, 32], [59, 45, 53], [55, 49, 57], [52, 56, 60, 58]]
12: [[7, 35, 2], [22, 54], [48, 38], [47, 34, 26], [39, 13], [50, 17], [42, 6, 21], [9, 8, 11], [30, 3, 51], [14, 4, 15], [16, 10], [18, 5], [1, 28], [40, 24], [12, 23, 25], [41, 33, 31], [36, 37, 29], [44, 46, 27, 43], [19, 20, 32], [59, 53, 45, 55], [49, 57, 52, 56, 60, 58]]
