0: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 8, 13, 18, 16, 17, 7, 19, 24, 10, 12, 22], [20, 25], [23, 28], [29, 14], [21, 27, 26]]
1: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 8, 13, 18, 16, 17, 7, 19, 24, 10, 12, 22], [20, 25], [23, 28], [29, 14], [21, 27, 26]]
2: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 8, 13, 18, 16, 17, 7, 19, 24, 10, 12, 22], [20, 25], [23, 28], [29, 14], [21, 27, 26]]
3: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 12, 14, 26, 8, 7, 13, 10, 18, 17, 16, 22, 19, 21, 23], [20, 25], [28, 24, 27, 29]]
4: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 13, 12, 16, 7, 8, 22, 10, 19, 14, 18], [23, 17, 21, 20, 28, 24], [25, 26, 27, 29]]
5: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 13], [10, 24, 8, 17, 12, 14], [23, 7, 18, 16, 20, 22, 19, 21, 25, 28], [26, 27, 29]]
6: [[6, 5], [4, 3], [2, 1, 9, 15], [11, 12, 7, 24], [8, 10], [21, 27, 13], [22, 14, 17, 16, 19], [25, 20], [23, 26, 18, 29, 28]]
7: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 10, 8, 13, 17, 14, 18, 19, 12, 22], [23, 20, 21, 24, 27, 16, 25, 26, 28, 29]]
8: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 12, 16, 8, 24, 27, 10, 18, 13, 14, 21, 19], [20, 26, 17, 22, 28, 23, 25, 29]]
9: [[6, 5], [4, 3, 2, 1, 9, 15, 11, 7, 8, 24, 12, 25, 10, 28, 18, 16, 13, 14, 17], [21, 19, 20, 22, 23, 26, 27, 29]]
10: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 10, 14, 24, 8, 25, 28, 12, 19, 20, 16, 29, 22], [13, 7, 17, 18, 21, 23, 26, 27]]
11: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 8, 28, 10, 24, 12, 13, 21], [14, 16, 20, 19, 17, 18, 23, 22, 25, 26, 29, 27]]
12: [[6, 5, 4, 3], [2, 1, 9, 15, 11, 7, 12, 24, 10, 8, 14, 13, 22, 16, 19, 17, 18, 20, 23, 28, 21], [25, 26, 27, 29]]
13: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 8, 7, 10, 24, 12, 13, 18, 19, 14, 16, 20, 28, 23], [22, 17, 27, 21, 26, 25, 29]]
14: [[6, 5], [4, 3, 2], [1, 9, 15, 11, 12, 14, 24], [10, 13, 25, 16, 19, 7, 18, 22, 20, 21, 29, 8, 17, 23], [26, 27, 28]]
15: [[6, 5], [4, 3, 2, 1, 9, 15, 11, 7, 13, 18, 16, 17, 8], [19, 24, 10, 12, 23, 20, 21, 22, 27, 25, 14, 26, 28, 29]]
16: [[6, 5], [4, 3], [2, 1, 9], [15, 11, 13, 12, 24, 8], [10, 26, 14, 20, 19, 7], [16, 17], [21, 18, 22, 23, 29, 25, 27, 28]]
17: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 13, 10, 24], [12, 8, 7, 19, 20, 22, 14, 16, 17, 18, 25, 21, 23, 26, 27, 28, 29]]
18: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 10, 12, 16, 26, 8, 7, 13], [20, 23, 19, 17, 18, 14, 21, 27, 24, 28, 22, 25, 29]]
19: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 8, 24, 10, 12, 21, 13, 22, 14, 28, 16, 19], [20, 17, 18, 23, 25, 26], [27, 29]]
20: [[6, 5], [4, 3, 2], [1, 9], [15, 11, 10, 12, 18, 8, 17, 7, 13, 16, 22, 14, 21, 19], [20, 24, 28, 23, 26, 27, 25, 29]]
21: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 8, 7, 26, 10], [13, 24, 18, 19, 12, 16, 14, 28, 17, 23, 27, 20, 21, 22, 25, 29]]
22: [[6, 5], [4, 3], [2, 1, 9, 15, 11], [7, 12, 24, 10, 8, 13], [14, 23, 20, 16, 17, 18], [21, 19, 29, 28, 22, 25, 27, 26]]
23: [[6, 5], [4, 3, 2], [1, 9, 15, 11], [7, 12, 10, 28], [8, 21, 13, 14], [19, 17, 20, 16, 22, 18, 23, 24, 29], [25, 27, 26]]
24: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 8, 12, 24, 13, 21, 7], [10, 18], [27, 19], [14, 20, 17, 16, 25, 26, 23, 22, 28, 29]]
25: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 12, 24, 8, 18], [14, 10], [20, 13, 21, 16, 17, 28, 19, 22, 23, 26, 25, 27, 29]]
26: [[6, 5], [4, 3, 2, 1, 9, 15, 11], [12, 7, 24], [8, 28], [20, 10, 13], [14, 17, 18, 19, 25, 16], [21, 23, 22, 26, 27, 29]]
27: [[6, 5], [4, 3], [2, 1], [9, 15, 11], [8, 12, 16, 26, 7, 10, 13, 22, 17, 14, 19, 18, 20, 21, 23, 24, 25], [27, 28, 29]]
28: [[6, 5], [4, 3], [2, 1, 9], [15, 11], [7, 10, 24, 13, 17, 12, 8, 28, 19, 14, 22, 18], [20, 21, 16, 25, 23], [27], [26, 29]]
29: [[6, 5], [4, 3, 2, 1, 9, 15, 11, 7, 10, 16, 12, 27, 8, 24, 22, 13, 14, 20, 21, 17, 26], [18, 23, 29, 19], [25, 28]]
30: [[6, 5], [4, 3], [2, 1], [9, 15, 11, 12, 10, 18, 24, 8, 7], [23, 16], [13, 26, 14, 20, 17, 19, 28, 27, 21, 22], [25, 29]]
31: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 8, 13, 18, 24], [17, 7], [10, 20, 26], [12, 22], [14, 25], [23, 16], [29, 19], [21, 27, 28]]
32: [[6, 5], [4, 3], [2, 1, 9, 15, 11, 7, 12, 24, 8, 16, 10], [14, 20], [19, 13], [17, 22], [25, 18, 28], [29, 21], [23, 27, 26]]
33: [[6, 5], [4, 3], [2, 1, 9, 15], [11, 12, 10, 24, 29, 8, 13, 7, 26], [19, 20], [14, 16, 21, 22, 17, 18, 23, 25, 27, 28]]
34: [[6, 5], [4, 3, 2, 1, 9, 15], [11, 13, 10, 24, 8], [7], [20, 28, 12, 23, 18, 14, 21, 16, 17, 19, 22, 25, 27, 26, 29]]
35: [[6, 5], [4, 3, 2, 1], [9, 15, 11, 10, 12, 24, 8, 7, 13], [14, 16], [19, 17, 29, 20, 21, 18, 23, 25, 22, 27, 28, 26]]
36: [[6, 5], [4, 3], [2, 1, 9], [15, 11], [13, 12], [24, 23], [7, 8, 10, 20, 22, 19, 14, 21, 16, 17], [26, 18, 28, 25, 27, 29]]
37: [[6, 5], [4, 3], [2, 1], [9, 15], [11, 8], [7, 10, 20, 17, 12, 13, 19, 16, 18, 21, 14], [22, 23, 24, 25, 26, 28, 27, 29]]
38: [[6, 5], [4, 3, 2, 1, 9, 15, 11], [7, 10, 16, 8, 24, 26, 13], [25, 12, 14, 18, 19], [20, 21, 17, 23, 22, 29, 27, 28]]
39: [[6, 5, 4, 3], [2, 1], [9, 15, 11, 7, 12, 16, 8, 24, 27, 10, 18, 13, 14, 21, 19], [17, 20, 23, 26, 22, 25, 28, 29]]
40: [[6, 5], [4, 3, 2, 1, 9, 15, 11], [10, 7, 24, 8, 12], [28, 13, 27, 16, 17, 18], [22, 25], [14, 19, 20, 21, 26, 23, 29]]
41: [[6, 5, 4, 3, 2, 1, 9, 15, 11, 7, 8, 18, 13, 17], [14, 16], [24, 10], [12, 22], [19, 20, 23], [28, 29, 21, 26, 27, 25]]
42: [[6, 5], [4, 3, 2], [1, 9], [15, 11, 8, 7, 26, 12, 25, 18, 10], [17, 13, 16, 14, 24, 19, 23, 28, 21, 20, 22, 27, 29]]
43: [[6, 5, 4, 3, 2, 1, 9], [15, 11, 13, 12, 24, 8, 21, 7, 18, 10, 19, 22, 14, 20, 17, 16], [28, 25, 23, 26, 27, 29]]
44: [[6, 5], [4, 3, 2, 1, 9, 15, 11, 13], [12, 24, 8, 7, 28, 10, 23, 21, 14, 16, 17, 20, 27, 18, 19, 29, 25], [22, 26]]
45: [[6, 5], [4, 3, 2, 1, 9, 15], [11, 7, 14, 16, 13], [8, 10, 22, 12, 18, 19], [21, 20, 17, 23, 26], [24, 25, 27, 28, 29]]
46: [[6, 5, 4, 3, 2, 1, 9], [15, 11, 13, 7, 26, 10, 8, 24, 18, 21, 12, 16, 14, 19, 17, 22], [20, 23, 27, 28, 25, 29]]
47: [[6, 5], [4, 3, 2], [1, 9, 15, 11, 10, 12, 16, 22], [7, 8, 23, 13], [14, 18, 17, 19, 21, 20, 26, 24, 28], [25, 27, 29]]
48: [[6, 5], [4, 3, 2, 1, 9, 15, 11], [8, 7], [24, 10, 25, 20, 12, 21, 22, 17], [28, 14, 13, 16, 23, 18, 19, 27, 26, 29]]
49: [[6, 5], [4, 3], [2, 1], [9, 15], [11, 7], [13, 16, 8], [24, 19, 26, 10, 12, 14, 22, 20, 25, 18, 17, 28, 21, 23, 27, 29]]
50: [[6, 5, 4], [3, 2, 1, 9, 15, 11, 12, 14, 24, 7, 26, 8, 17, 28, 25, 27, 18, 20, 10], [13, 16, 23, 19, 21, 22, 29]]
51: [[6, 5, 4, 3, 2, 1, 9], [15, 11, 12, 10, 20, 7, 13, 8, 26, 25, 14, 19, 22, 21, 17, 16], [29, 18, 23, 28, 27, 24]]
52: [[6, 5], [4, 3], [2, 1], [9, 15, 11], [12, 10, 20], [7, 13], [8, 26], [25, 14, 19], [22, 21, 17, 16, 29, 18, 23], [28, 27, 24]]
53: [[6, 5], [4, 3, 2], [1, 9, 15, 11, 12, 14, 16, 10, 8], [13, 23, 7, 19, 17, 21, 20], [18, 29, 22, 24, 28, 25, 27, 26]]
54: [[6, 5, 4, 3, 2, 1, 9, 15, 11, 13], [10, 24, 8, 7, 28, 12, 20, 23, 18], [26, 19, 14, 21, 16, 17, 27, 25, 22, 29]]
55: [[6, 5], [4, 3, 2], [1, 9, 15, 11], [10, 13, 16, 7, 8], [12, 22, 14, 19, 17], [28, 21, 18, 20, 23], [26, 24, 29, 27, 25]]
56: [[6, 5, 4, 3, 2], [1, 9, 15, 11, 7, 8], [24, 10], [13, 12, 19, 21, 20, 14, 23, 18, 16, 17, 22, 26, 25, 27, 29, 28]]
57: [[6, 5, 4], [3, 2], [1, 9, 15], [11, 7, 12], [24, 10], [8, 14], [13, 22], [16, 19, 17, 18], [20, 23], [28, 21, 25, 26, 27, 29]]
58: [[6, 5, 4, 3, 2, 1], [9, 15, 11, 13, 10, 24], [8, 25, 12, 28, 7, 18, 20, 14, 21, 17], [16, 22, 26, 19, 23, 27, 29]]
59: [[6, 5, 4], [3, 2], [1, 9], [15, 11, 12, 14, 16, 7, 8], [10, 13, 24], [26, 18, 23, 20, 17, 21, 25, 19, 22, 28, 27, 29]]
