0: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
1: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
2: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
3: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
4: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
5: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
6: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
7: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
8: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
9: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
10: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
11: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
12: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
13: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
14: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
15: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
16: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
17: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
18: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
19: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
20: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
21: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
22: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
23: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
24: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
25: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
26: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
27: [[5, 1, 3, 4], [10], [9, 13, 12, 7, 2], [6, 8, 11]]
