0: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20, 6], [29, 24], [19, 21, 15], [16, 18, 17], [28, 25, 26], [31, 30, 23, 32, 35, 33, 34], [36, 37]]
1: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27], [20, 6, 29], [15, 19, 21], [25, 16, 18, 17, 28, 24, 26], [30, 31], [23, 32, 35, 33, 34, 36, 37]]
2: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9], [10, 27, 20, 6], [29, 15, 19, 21, 17, 16], [18, 31, 25, 24, 26, 28], [30, 23, 32, 35, 33], [34, 36, 37]]
3: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11], [13, 9, 10], [27, 20, 6], [29, 15, 19], [21, 17], [16, 18, 26], [28, 25, 24], [31, 30, 23, 32, 35, 33, 34], [36, 37]]
4: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10], [27, 20, 6, 29, 15, 19, 21, 23, 16, 17, 24, 26, 25, 18, 28, 30, 31, 32, 35, 33, 34, 36, 37]]
5: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10, 27, 20], [6, 29, 16], [19, 21, 15, 17], [30, 26], [18, 25, 23, 24, 31, 28, 32, 35, 33, 34, 36, 37]]
6: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11], [13, 9, 10, 27, 20, 6, 29], [15, 19, 21], [17, 16, 18, 31, 25, 23, 30, 24, 26, 28, 32, 35, 33, 34, 36, 37]]
7: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11], [13, 9, 10, 27, 20, 6, 29], [15, 19, 21], [17, 16, 18, 31, 25, 23, 30, 24, 26, 28, 32, 35, 33, 34, 36, 37]]
8: [[7, 22, 2, 1, 3], [4, 5, 14, 8, 12, 11, 13, 9, 10, 27, 20, 6, 29, 15, 19, 21, 23, 16, 18, 17], [25, 24, 28], [30, 31], [26, 32, 35, 33, 34, 36, 37]]
9: [[7, 22, 2, 1, 3, 4], [5, 14, 8, 12, 11, 13], [9, 10], [27, 20, 6, 29, 15, 19, 21], [17, 16], [18, 23], [31, 25, 24, 30, 26, 28], [32, 35, 33, 34, 36, 37]]
10: [[7, 22], [2, 1, 3, 4, 5], [14, 8, 12, 11, 13, 9], [10, 27, 20, 6, 29], [15, 19, 21], [17, 16, 18, 24], [25, 26, 28, 30, 31], [23, 32], [35, 33, 34], [36, 37]]
