It No., Best MQ, No clusters, max clus, min clus
1,1.8406816914969089,7,13,1
2,1.9316538749347085,8,5,2
3,2.1386161284405056,8,10,2
4,1.7776350357766355,9,5,2
5,1.7654261863267307,9,10,1
6,1.7947832555904415,6,8,2
7,1.783112563207101,8,5,1
8,1.662174312078872,8,6,1
9,1.9090583759562674,8,11,1
10,2.0678258302112082,8,7,2
11,2.1069986532637195,8,13,2
12,2.006890141586886,11,4,1
13,1.935863997186225,7,8,3
14,1.9264911333876853,6,18,1
15,1.8859044618552143,9,6,2
16,1.856712161059987,9,6,2
17,1.827617138934999,8,5,3
18,1.757369822440415,10,4,1
19,1.778136975411007,8,8,1
20,2.07644689741845,10,5,2
21,2.025583827936769,9,6,2
22,2.04969070961718,9,8,1
23,1.7440208339986034,7,7,3
24,2.0430401989724025,10,5,1
25,1.7863832119646073,8,8,2
26,1.9153874115706175,5,18,2
27,1.9830613830613828,8,13,2
28,1.9341215252545298,10,8,2
29,1.8853463996321138,8,10,1
30,1.9046276082548192,9,5,2
31,2.0310767103870555,10,7,1
