0: [[53, 35, 3, 7, 2], [14, 5, 4], [13, 9, 31, 6, 21], [8, 11, 17, 30], [15, 19, 1, 12, 16, 10, 18], [26], [22, 23], [20, 25, 24, 40, 29, 27, 32, 37, 43, 42], [38, 45], [41, 36, 39, 33, 34], [44, 28, 46, 47], [54, 56, 50, 52], [51, 60, 55, 48], [59, 49, 58, 57]]
1: [[53, 35, 3, 7, 2, 14, 5], [4, 13, 9, 31], [6, 21, 8, 11, 17], [30, 15, 19], [1, 12, 16, 10, 18], [26], [22, 23], [20, 25, 24, 40, 29, 27, 32, 37, 43, 42], [38, 45], [41, 36, 39, 33, 34], [44, 28, 46, 47], [54, 56, 50, 52], [51, 60, 55, 48], [59, 49, 58, 57]]
2: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
3: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
4: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
5: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
6: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
7: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
8: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
9: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
10: [[21, 35, 3, 2, 1, 14, 7, 4, 5, 6, 13, 26, 8, 9, 27, 25, 30, 11, 31, 17], [19, 12, 16, 22, 10, 15, 18, 20, 23, 28, 24, 29, 40, 32, 37, 43, 42, 38, 45, 44], [36, 39, 33, 34, 41, 47, 46, 53, 54, 49, 50, 56, 51, 52, 55, 48, 59, 57, 58, 60]]
