0: [[8, 6, 11, 9], [12, 13, 7], [5, 3], [1, 10, 4, 2]]
1: [[8, 6, 11, 9], [12, 13, 7], [5, 3], [1, 10, 4, 2]]
2: [[8, 6, 11, 9], [12, 13, 7], [5, 3], [1, 10, 4, 2]]
3: [[8, 6, 11, 9], [12, 13, 7], [5, 1, 3], [10, 4, 2]]
4: [[8, 6, 11, 9], [12, 13, 7], [5, 3, 1, 10, 2, 4]]
5: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
6: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
7: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
8: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
9: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
10: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
11: [[8, 6, 11], [9, 12, 13, 2, 7], [5, 3], [1, 10, 4]]
12: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
13: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
14: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
15: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
16: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
17: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
18: [[8, 6, 11], [9, 12, 13, 7], [5, 3, 1], [10, 2, 4]]
19: [[8, 6], [11, 9], [12, 13, 7], [5, 3, 1], [10, 2, 4]]
20: [[8, 6, 11, 9], [12, 13, 7, 5], [3, 1, 2, 4, 10]]
21: [[8, 6, 11], [9, 12, 7], [13], [5, 3, 1], [10, 2, 4]]
22: [[8, 6, 11], [9, 12, 7], [13], [5, 3, 1], [10, 2, 4]]
23: [[8, 6, 11, 9, 12], [13, 7, 5], [3, 1, 10, 2, 4]]
24: [[8, 6, 11], [9, 12, 13], [7, 5, 3, 1, 10, 2, 4]]
25: [[8, 6], [11, 9, 12, 13], [7, 5, 3, 1, 2, 4, 10]]
26: [[8, 6], [11, 9, 12, 13, 7, 5, 3, 1, 10, 2], [4]]
27: [[8, 6], [11, 9, 12, 13, 7, 5, 3, 1, 10, 2], [4]]
