0: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
1: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
2: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
3: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
4: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
5: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
6: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
7: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
8: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
9: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
10: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
11: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
12: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
13: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
14: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
15: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
16: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
17: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
18: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
19: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
20: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
21: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
22: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
23: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
24: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
25: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
26: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
27: [[6, 11, 9, 8], [1, 5, 2, 3], [4, 10], [12, 13, 7]]
