0: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
1: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
2: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
3: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
4: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
5: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
6: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
7: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
8: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
9: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
10: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
11: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
12: [[21, 82, 59, 86], [38, 19, 64, 50], [9, 22, 78, 12], [5, 10, 7, 37], [13, 16, 6, 8, 29], [87, 14, 68, 15], [67, 32, 1, 27], [61, 41, 4, 48, 60], [75, 2, 56, 3], [85, 11, 46, 17], [25, 18, 20, 28], [23, 24, 26, 80], [63, 53, 40, 43], [30, 36, 33, 65], [74, 70, 55, 58], [35, 31, 51, 57], [44, 39, 69, 66], [62, 34, 77, 45], [49, 42, 52, 72], [47, 79, 76, 71, 54], [73, 88, 84, 81, 83]]
