0: [[8, 1, 3], [13, 5, 14, 4], [2, 10, 7, 6, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
1: [[8, 1, 3], [13, 5, 14, 4], [6, 10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
2: [[8, 1, 3], [13, 5, 14, 4], [2, 10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
3: [[8, 1, 3], [13, 5, 14, 4], [2, 10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
4: [[8, 1, 3], [13, 5, 14, 4], [6, 10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
5: [[8, 1, 3], [13, 5, 14, 2, 4], [10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
6: [[8, 1, 3], [13, 5, 14, 2, 4], [10, 7, 6, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
7: [[8, 1, 3], [13, 5, 14, 2, 4], [10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
8: [[8, 1, 3], [13, 5, 14, 10, 4], [6, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
9: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
10: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
11: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
12: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
13: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
14: [[8, 1, 3], [13, 5, 14, 6, 4], [10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
15: [[8, 1, 3], [13, 5, 14, 4, 6], [2, 10, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
16: [[8, 1, 3], [13, 5, 14, 2, 4], [6, 10, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
17: [[8, 1, 3], [13, 5, 14, 2, 4], [6, 10, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
18: [[8, 1, 3], [13, 5, 14, 2, 4], [6, 10, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
19: [[8, 1, 3, 13], [5, 14, 4], [6, 10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
20: [[8, 1, 3, 13], [5, 14, 4], [10, 6, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
21: [[8, 1, 3, 13], [5, 14, 4], [2, 10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
22: [[8, 1, 3, 13], [5, 14, 4], [2, 10, 7, 6, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
23: [[8, 1, 3, 13], [5, 14, 4], [2, 10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
24: [[8, 1, 3, 13], [5, 14, 4], [6, 10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
25: [[8, 1, 3, 13], [5, 14, 4, 2, 10], [6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
26: [[8, 1, 3, 13], [5, 14, 4, 2, 10], [6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
27: [[8, 1, 3, 13], [5, 14, 2, 10, 4], [6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
28: [[8, 1, 3, 13], [5, 14, 2, 10, 4], [6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
29: [[8, 1, 3, 13], [5, 14, 4], [6, 10, 2, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
30: [[8, 1, 3], [13, 5, 14, 2], [4, 10, 6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
31: [[8, 1, 3, 13, 5], [14, 6, 4], [10, 7, 2, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
32: [[8, 1, 3, 13, 5], [14, 4, 6], [10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
33: [[8, 1, 3, 13, 5], [14, 4, 2], [10, 7, 6, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
34: [[8, 1, 3], [13, 5, 14, 7, 6], [10, 2, 4, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
35: [[8, 1, 3], [13, 5, 14, 6], [4, 10, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
36: [[8, 1, 3], [13, 5, 14, 6], [10, 4, 2, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
37: [[8, 1, 3, 13, 5], [14, 2, 10, 4], [6, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
38: [[8, 1, 3], [13, 5, 14, 2, 6], [10, 4, 7, 16], [11, 12, 9], [17, 18, 20, 19, 15]]
39: [[8, 1, 3], [13, 5, 14, 2, 6], [10, 4, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
40: [[8, 1, 3], [13, 5, 14, 2, 6], [10, 4, 7], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
41: [[8, 1, 3], [13, 5, 14, 2, 6], [10, 7, 4], [16, 11, 12, 9], [17, 18, 20, 19, 15]]
