0: [[8, 6, 11], [12, 2], [5, 1, 3], [10, 4], [7, 13, 9]]
1: [[8, 6, 11], [12, 2, 5], [1, 3], [10, 4], [7, 13, 9]]
2: [[8, 11, 6], [12, 2], [5, 1, 3], [10, 4, 7, 13, 9]]
3: [[11, 12, 2, 5, 8, 6], [1, 3], [10, 4], [7, 13, 9]]
4: [[11, 12, 2, 5, 8, 6], [1, 3], [10, 4], [7, 13, 9]]
5: [[8, 11, 6], [12, 2], [5, 1, 3], [10, 4, 7, 13, 9]]
6: [[11, 12, 8, 6], [2, 5], [1, 3, 10, 4], [7, 13, 9]]
7: [[11, 12, 8, 6], [2, 5, 1], [3, 10, 4], [7, 13, 9]]
8: [[11, 12, 2, 8, 6], [5, 1], [3, 10, 4], [7, 13, 9]]
9: [[11, 12, 2, 8, 6], [5, 1], [3, 10, 4], [7, 13, 9]]
10: [[8, 6, 11], [12, 2], [5, 1, 3], [10, 4, 7], [13, 9]]
11: [[8, 6, 11], [12, 2], [5, 1, 3], [10, 4, 7], [13, 9]]
12: [[11, 12, 2, 5, 6], [1, 3, 10, 4], [7, 8], [13, 9]]
13: [[8], [12, 2, 5], [1, 3, 10, 4, 7], [13, 9, 6, 11]]
14: [[8, 6, 11], [12, 2, 5], [1, 3], [10, 4, 7], [13, 9]]
15: [[8, 6, 11, 12], [2, 5], [1, 3, 10, 4, 7, 13, 9]]
16: [[8, 6], [11, 12], [5, 1, 2, 3], [10, 4, 7, 13, 9]]
17: [[8], [12, 2, 5], [1, 3], [10, 4, 7], [13, 9, 6, 11]]
18: [[8], [12, 2, 5], [1, 3], [10, 4, 7], [13, 9, 6, 11]]
19: [[8], [12, 2], [5, 1, 3, 10, 4, 7], [13, 9, 6, 11]]
20: [[8, 6, 11], [12, 2], [5, 1, 3, 10], [4, 7], [13, 9]]
21: [[11, 12], [2, 5, 1], [3, 10, 4, 7, 13, 9, 8, 6]]
22: [[11, 12], [2, 5, 1], [3, 10, 4, 7, 13, 8], [9, 6]]
23: [[8, 6], [11, 12], [2, 5], [1, 3, 10, 4, 7, 13, 9]]
24: [[8, 11, 6], [12, 2], [5, 1], [3, 10], [4, 7, 13, 9]]
25: [[8, 11, 6], [12, 2], [5, 1], [3, 10], [4, 7, 13, 9]]
26: [[12], [2, 5], [1], [3, 10, 6], [4, 7, 13, 9, 8, 11]]
27: [[8, 12], [2, 5], [1, 3, 10], [4, 7], [13, 9, 6, 11]]
