0: [[9, 4, 19, 5, 22, 3, 1, 6], [2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
1: [[9, 4, 19, 5, 22, 3, 1, 6], [2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
2: [[9, 4, 19, 5, 22, 3, 1, 6], [2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
3: [[9, 4, 19, 5, 22, 3, 1, 6], [2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
4: [[9, 4, 19, 5, 22, 3, 1, 6], [2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
5: [[9, 4, 19, 5, 22], [3, 2, 10, 14, 1, 6], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
6: [[9, 4, 19, 5, 22, 3, 2, 1, 6], [10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
7: [[9, 4, 19, 5, 22, 3, 2, 1, 6], [10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
8: [[19, 5, 22, 4], [1, 3], [6, 2, 10, 14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16, 9], [23, 21, 24]]
9: [[9, 19, 5, 22, 3, 6, 4, 1], [2, 10], [14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
10: [[4, 5, 22, 1, 19], [3, 6, 2, 10, 14, 7, 11], [8, 13, 9], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
11: [[9, 19, 5, 22, 3, 6, 4, 1], [2, 10], [14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
12: [[9], [5, 22, 1, 3, 6, 2, 4, 19], [10, 14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
13: [[19, 5, 22, 1, 3, 4], [6, 2, 10, 14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16, 9], [23, 21, 24]]
14: [[19, 5, 22, 1, 3, 4], [6, 2, 10, 14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16, 9], [23, 21, 24]]
15: [[19, 5, 22, 4], [1, 3], [6, 2, 10, 14, 7, 11, 8, 13, 9], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
16: [[19, 5, 22, 4], [1, 3], [6, 2, 10, 14, 7, 11, 8, 13, 9], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
17: [[9, 4, 19], [5, 22, 3, 2, 10, 14, 1, 6], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
18: [[9, 5, 22, 1, 3, 6, 4, 19], [2, 10], [14, 7, 11, 8, 13], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
19: [[9, 5, 22, 1, 3, 6, 4, 19], [2, 10], [14, 7, 11, 8, 13], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
20: [[19, 5, 22, 1, 3, 6, 9, 4], [2, 10, 14, 7, 11, 8, 13], [12, 15, 18, 17, 20, 16], [23, 21, 24]]
21: [[9, 19, 5, 22, 1, 3, 4, 6], [2, 10], [14, 7], [11, 8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
22: [[4, 5, 22, 1, 19], [3, 6, 2, 10, 14, 7], [11, 8, 9], [13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
23: [[9], [19, 5, 22, 1, 3, 2, 10, 4, 6], [14, 7], [11, 8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
24: [[9, 5, 22, 1, 3, 6, 4, 19], [2, 10], [14, 7, 11, 8, 13, 12, 15, 18], [17, 20, 16], [23, 21, 24]]
25: [[9, 4], [19, 5, 22, 3, 2, 10, 14, 1, 6], [7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
26: [[4, 5, 22, 1, 3, 19], [6, 2, 10, 14, 7], [11, 8, 9], [13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
27: [[9, 19, 5, 22, 3, 6, 4, 1], [2, 10, 14, 7, 11, 8, 13, 12], [15, 18, 17], [20, 16], [23, 21, 24]]
28: [[9, 19, 5, 22, 3, 6, 4, 1], [2, 10, 14, 7, 11, 8, 13, 12], [15, 18, 17], [20, 16], [23, 21, 24]]
29: [[9, 4, 19], [5, 22], [1, 3, 6, 2, 10, 14, 7, 11], [8, 13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
30: [[9], [5], [22, 1, 3, 6, 2, 10, 14, 7, 11, 4], [8, 13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
31: [[9], [5], [22, 1, 3, 6, 2, 10, 14, 7, 11, 4], [8, 13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
32: [[9], [5], [22, 1, 3, 6, 2, 10, 14, 7, 11, 4], [8, 13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
33: [[9], [5, 22], [1, 3, 6, 2, 10, 14, 7, 11, 4], [8, 13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
34: [[9], [5, 22], [1, 3, 6, 2, 10, 14, 7, 11, 4], [8, 13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
35: [[4], [5, 22, 1, 3, 6, 2, 10, 14, 9, 19], [7, 11, 8], [13, 12, 15, 18, 17, 20, 16], [23, 21, 24]]
36: [[9], [19, 5, 22, 3, 6, 2, 10, 4, 1], [14, 7, 11, 8, 13, 12, 15, 18, 17], [20, 16], [23, 21, 24]]
37: [[9], [19, 5, 22, 3, 6, 2, 10, 4, 1], [14, 7, 11, 8, 13, 12, 15, 18, 17], [20, 16], [23, 21, 24]]
38: [[4], [5, 22, 1, 3, 6, 2, 10, 14, 7, 9], [11, 8], [13, 12, 15, 18, 17, 20, 16, 19], [23, 21, 24]]
39: [[9, 19, 5, 22, 4, 1], [3, 6, 2, 10, 14], [7, 11], [8, 13, 12, 15, 18, 17, 20], [16, 23, 21, 24]]
40: [[9, 5, 22, 1, 3, 6, 4, 19], [2, 10], [14, 7, 11, 8, 13], [12, 15, 18, 17, 20, 16, 23], [21, 24]]
