It No., Best MQ, No clusters, max clus, min clus
1,1.5717612408877182,7,5,3
2,1.5371049065615159,5,7,5
3,1.6162340066449654,7,5,2
4,1.8635310635310633,6,7,3
5,1.693581372659387,8,6,1
6,1.3006866438356164,3,10,9
7,1.6282705289601842,9,7,2
8,1.6377373007509994,6,7,3
9,2.049132234699245,6,9,2
10,1.8377574601368178,9,4,2
11,1.4744635734002014,4,8,7
12,1.4900427132402831,4,8,7
13,1.8692955192955194,10,7,1
14,1.4689126539020174,5,8,4
15,1.7782352941176471,7,5,3
16,1.371991199119912,4,8,7
17,1.6853065427473874,8,5,2
18,1.8587873513630226,8,7,2
19,1.6010778171752618,6,6,2
20,1.9659529918851952,8,5,2
21,1.614293458479505,6,10,1
22,1.975533895500988,10,4,2
23,1.4407113674874052,4,10,6
24,1.5461334743687685,6,7,3
25,1.5577533577533578,7,8,2
26,1.2344734344734345,3,10,9
27,1.4733660423181263,4,10,3
28,1.4922391618043789,9,5,1
29,1.5033083141354338,5,6,5
30,1.8303926062571039,6,7,3
31,1.7063676820744684,6,6,4
