0: [[7, 1, 3, 13, 12, 5, 2], [10, 4], [6, 9, 8, 11]]
1: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
2: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
3: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
4: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
5: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
6: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
7: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
8: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
9: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
10: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
11: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
12: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
13: [[7, 1, 3, 13, 12, 2, 5], [10, 4], [6, 9, 8, 11]]
14: [[7, 1, 3, 13, 12], [2, 5], [10, 4, 6, 9, 8, 11]]
15: [[7, 1, 3, 13, 12], [2, 5], [10, 4, 6, 9, 8, 11]]
16: [[7, 1, 3, 13, 12], [2, 5], [10, 4, 6, 9, 8, 11]]
17: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
18: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
19: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
20: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
21: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
22: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
23: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
24: [[7, 1, 3, 13, 12, 2], [5, 10], [4, 6, 9, 8, 11]]
25: [[7, 1, 3, 13, 12, 2, 5, 10, 4], [6, 9], [8, 11]]
26: [[7, 1, 3, 13, 12, 2, 5, 10], [4, 6], [9, 8, 11]]
27: [[7, 1, 3, 13, 12, 2, 5, 10], [4, 6], [9, 8, 11]]
