0: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 10, 24, 18, 14, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
1: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
2: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 24, 18, 20, 10, 14], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
3: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
4: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
5: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
6: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
7: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
8: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 24, 18, 20, 10, 14], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
9: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
10: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
11: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
12: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
13: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
14: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
15: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
16: [[7, 9, 19, 2, 13], [1, 3, 11, 4, 8, 12], [5, 6, 25], [15, 14, 24, 18, 10, 20], [23, 17, 16, 22], [26, 29, 21, 27, 28]]
