0: [[5], [33, 7, 8, 9], [46, 13, 3, 17, 21], [1], [14], [4, 11], [27, 28, 15, 6, 10, 18], [16, 31, 19, 20, 26, 22], [23, 24, 25, 54, 29, 40, 12], [36, 32, 47], [34, 50, 39, 43, 35, 30, 2], [41, 37, 38], [42, 44, 45, 51, 53], [55, 56, 58], [52, 59], [49, 48, 57, 60]]
1: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 27, 10, 28, 9, 11, 15, 16, 12, 19, 21, 18, 22, 23, 17, 31, 30, 24, 26], [29, 25, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
2: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 10, 12, 8, 11, 27, 15, 17, 19, 28, 21, 24, 16, 23, 26, 18, 22, 31, 30], [29, 25, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
3: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 11, 9, 30, 28, 10, 12, 17, 18, 19, 23, 15, 27, 31, 26, 24, 16, 21, 22], [29, 25, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
4: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 9, 8, 27, 11, 10, 6, 12, 22, 15, 24, 17, 18, 16, 23, 19, 30, 28, 25, 21, 31], [26, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
5: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 24, 11, 12, 18, 9, 15, 10, 23, 16, 19, 21, 17, 27, 22, 30, 25, 31, 28], [29, 26, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
6: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 8, 11, 12, 30, 10, 16, 31, 15, 19, 21, 27, 17, 22, 18, 23, 24, 28, 25], [26, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
7: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 9, 12, 11, 27, 31, 25, 10, 22, 16, 15, 19, 17, 21, 24, 28, 18, 23, 30], [26, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
8: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 9, 11, 8, 15, 10, 26, 12, 28, 16, 18, 23, 31, 17, 21, 19, 24, 22, 25, 30], [27, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
9: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 10, 9, 12, 15, 24, 11, 25, 26, 17, 23, 21, 28, 19, 31, 22, 16, 30, 18], [29, 27, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
10: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 6, 8, 10, 12, 15, 17, 9, 19, 18, 23, 21, 11, 22, 24, 16, 26, 28, 30, 25, 31], [27, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 45, 44], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
11: [[7, 2, 35, 1, 20, 3, 4, 14], [13, 5, 8, 9, 10, 6, 26, 15, 25, 28, 11, 17, 16, 23, 18, 12, 19, 21, 30, 22, 24, 31], [27, 29, 36, 33, 40, 39, 50, 42, 34, 32, 37, 43, 38, 44, 45], [41, 47, 57, 46, 51, 49, 48, 55, 52, 53, 54, 58, 56, 59, 60]]
