0: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
1: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
2: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
3: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
4: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
5: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
6: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
7: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
8: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
9: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
10: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
11: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
12: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
13: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
14: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
15: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
16: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
17: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
18: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
19: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
20: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
21: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
22: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9], [8, 1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
23: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
24: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
25: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
26: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
27: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
28: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
29: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
30: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
31: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [15, 11, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
32: [[20, 3, 5, 6], [21, 13, 26, 27], [17, 7, 25, 9, 8], [1, 4, 12, 22], [11, 15, 10, 14], [2, 19, 16, 18], [23, 24, 28, 29]]
