0: [[4, 5, 19, 6], [2, 9, 1, 13], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
1: [[4, 5, 19, 6], [2, 13, 9, 1], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
2: [[4, 19], [5, 2, 13, 9, 1, 6], [11, 7, 14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
3: [[19, 3, 6, 4], [5, 2, 13, 9, 1], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
4: [[19, 3, 6, 4], [5, 2, 13, 9, 1], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
5: [[19, 3, 6, 4], [5, 2, 13, 9, 1], [11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
6: [[4, 5, 19], [2, 13, 9, 1, 11, 7, 6], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
7: [[19, 3, 5, 6, 4], [2, 13, 9, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16, 18], [20, 22], [21, 23, 24]]
8: [[19, 3, 5, 6, 4], [2, 13, 9, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16, 18], [20, 22], [21, 23, 24]]
9: [[19, 3, 5, 6, 4], [2, 13, 9, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16, 18], [20, 22], [21, 23, 24]]
10: [[4, 19], [5, 2, 13, 9, 1, 11, 6], [7, 14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
11: [[4, 5, 2, 19], [13, 9, 1, 11, 7, 6], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
12: [[4, 5, 2, 13, 6], [9, 1], [11, 7], [14, 10, 12, 8, 19], [15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
13: [[19, 5, 2, 4], [13, 9, 1, 11, 7, 6], [14, 10, 12, 8, 15, 17], [16, 18, 3], [20, 22], [21, 23, 24]]
14: [[4, 19], [5, 2], [13, 9, 1, 11, 7, 6], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
15: [[4, 5, 6], [2, 13, 9, 1, 11], [7, 14], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
16: [[4, 5, 2, 13, 6], [9, 1, 19], [11, 7, 14, 10, 12, 8, 15], [17, 16, 18, 3], [20, 22], [21, 23, 24]]
17: [[19, 3, 4], [5, 2, 13, 9, 6, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16, 18], [20, 22], [21, 23, 24]]
18: [[4, 5, 2], [13, 9, 1, 11, 6], [7, 14], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
19: [[4, 5, 2], [13, 9, 1, 11, 6], [7, 14], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
20: [[4, 5, 2], [13, 9, 1, 11, 6], [7, 14], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
21: [[4, 5, 6], [2, 13], [9, 1, 19], [11, 7, 14, 10, 12, 8, 15], [17, 16, 18, 20, 22, 3], [21, 23, 24]]
22: [[4, 5, 2, 13, 9, 19, 6], [1, 11, 7], [14, 10], [12, 8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
23: [[4, 5, 2, 13, 6], [9, 1], [11, 7], [14, 10, 12, 8, 19], [15, 17, 16, 18, 20, 3], [22, 21, 23, 24]]
24: [[4], [5, 2, 13, 9, 1, 11, 6], [7, 14, 10, 12, 19], [8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
25: [[4, 5, 2], [13, 9, 1, 11, 7, 14, 6], [10, 12, 19, 3], [8, 15, 17, 16, 18, 20, 22], [21, 23, 24]]
26: [[19, 5, 2, 13, 6, 4], [9, 1, 11], [7, 14, 10, 12, 8, 15, 17], [16, 18, 3], [20, 22], [21, 23, 24]]
27: [[4, 5, 2, 13, 9, 6], [1, 11, 19], [7, 14, 10, 12], [8, 15, 17, 16, 18, 3], [20, 22], [21, 23, 24]]
28: [[4], [5, 2, 13, 9, 1, 11, 7, 6], [14, 10, 12, 19], [8, 15, 17, 16, 18, 20, 22, 3], [21, 23, 24]]
29: [[19, 5, 6, 4], [2, 13, 9, 1], [11, 7], [14, 10, 12, 8, 15, 17, 16, 3], [18, 20], [22, 21, 23, 24]]
30: [[4, 5, 2, 13, 9, 1], [11, 7, 6], [14, 10, 12, 8, 19], [15, 17, 16, 18, 20, 3], [22, 21, 23, 24]]
31: [[4], [5, 2, 13, 9, 1, 11, 7, 6], [14, 10, 12, 8, 15, 19], [17, 16, 18, 20, 22, 3], [21, 23, 24]]
32: [[4], [5, 2, 13, 9, 1, 11, 7, 6], [14, 10, 12, 8, 15, 19], [17, 16, 18, 20, 22, 3], [21, 23, 24]]
33: [[19, 3, 4], [2], [13, 9, 6, 5], [1, 11, 7, 14, 10, 12, 8], [15, 17, 16, 18, 20, 22], [21, 23, 24]]
34: [[19, 3, 5, 6, 4], [2], [9, 1, 11, 7, 14, 10, 12, 13], [8, 15, 17, 16, 18], [20, 22], [21, 23, 24]]
35: [[4, 5, 2, 13, 9, 6], [1, 11], [7, 14], [10, 12, 8, 15, 19], [17, 16, 18, 20, 22, 3], [21, 23, 24]]
36: [[4, 5, 2, 13, 9, 6], [1, 11], [7, 14], [10, 12, 8, 15, 17, 16, 18, 20, 22, 19, 3], [21, 23, 24]]
37: [[4, 19], [5, 2, 13, 6], [9, 1, 11, 7, 14, 10, 12], [8, 15, 17, 16, 18, 20, 3], [22, 21, 23, 24]]
