0: [[12, 8, 11, 7, 13], [5, 1, 3], [10, 2, 4, 6, 9]]
1: [[12, 8, 11, 7, 13], [5, 1, 3], [10, 2, 4, 6, 9]]
2: [[12, 8, 11, 7, 13], [5, 1, 3], [10, 2, 4, 6, 9]]
3: [[12, 8, 11, 7, 13], [5, 1, 3], [10, 2, 4, 6, 9]]
4: [[12, 8, 11, 13, 7], [5, 1, 3], [10, 2], [6, 9, 4]]
5: [[12, 8, 11, 13, 7], [5, 1, 3], [10, 2, 4], [6, 9]]
6: [[12, 8, 11, 13, 7], [5, 1, 3], [10, 2, 4], [6, 9]]
7: [[12, 8, 11, 13, 7], [5, 1, 3], [10, 2, 4], [6, 9]]
8: [[12, 8, 11, 13, 7], [5, 1, 3], [10, 2, 4], [6, 9]]
9: [[12, 8, 11, 7, 13], [5, 1, 3, 10, 2], [4, 6, 9]]
10: [[12, 8, 7, 11, 13], [5, 1, 3, 10, 2], [4, 6, 9]]
11: [[12, 8, 11], [7, 13], [5, 1, 3], [10, 4, 6, 9, 2]]
12: [[12, 8, 11], [7, 13], [5, 1, 3], [10, 4, 6, 9, 2]]
13: [[12, 8], [11, 13, 7], [5, 1, 3], [10, 4, 9, 2, 6]]
14: [[12, 8, 11, 7], [13, 5], [1, 3, 10, 4], [6, 9, 2]]
15: [[12, 8, 7], [11, 13], [5, 1, 3], [10, 2, 4], [6, 9]]
16: [[12, 8, 11, 7], [13, 5], [1, 3], [10, 2], [6, 9, 4]]
17: [[12, 8, 7], [11, 13], [5, 1, 3], [10, 2, 4], [6, 9]]
18: [[12, 8, 11, 7], [13, 5], [1, 3, 10, 2], [4, 6, 9]]
19: [[12, 8, 11, 7], [13, 5, 1, 3, 10], [2, 4, 6, 9]]
20: [[12, 8, 2, 11, 7], [13], [5, 1, 3, 10, 4, 6, 9]]
21: [[12, 8, 11, 7], [13, 5, 1, 3, 10], [2, 4, 6, 9]]
22: [[12, 8, 11], [7, 13, 5, 1, 3], [10, 2, 4, 6, 9]]
23: [[12, 8, 11], [7, 13, 5, 1, 3], [10, 2, 4, 6, 9]]
24: [[12, 8, 11], [7, 13, 5, 1, 3], [10, 2, 4, 6, 9]]
25: [[12, 8, 11, 7, 13], [5, 1], [3, 10, 2, 4, 6, 9]]
26: [[12, 8, 11, 13, 7], [5, 1], [3, 10, 2, 4, 6, 9]]
27: [[12, 8], [11, 7, 13], [5, 1, 3, 10, 2, 4, 6, 9]]
