0: [[13, 2, 1], [14, 20, 7, 10], [9, 4, 5], [8, 6, 12, 11, 15, 17], [16, 18, 3], [19, 22], [21, 24, 23]]
1: [[13, 2, 1], [3, 14, 20, 7, 10], [9, 4, 5, 8, 6, 11, 15, 16, 18, 19, 22, 12, 17], [21, 24, 23]]
2: [[13, 1, 2, 3], [14, 20, 7, 10], [9, 4, 5, 8, 6, 11, 15, 16, 18, 19, 22, 12, 17], [21, 24, 23]]
3: [[13, 2, 1], [14, 20, 7, 10, 9, 4, 5, 8, 6], [12, 11, 15], [17, 16, 18, 19, 3], [22, 21, 24, 23]]
4: [[13], [2], [20, 7, 10, 14], [9, 4, 1], [5, 8], [6, 12, 11], [15, 17, 16, 18, 3], [19, 22], [21, 24, 23]]
5: [[13, 2, 20, 1], [7, 10, 9, 14], [4, 5, 8], [6, 12, 11], [15, 17], [16, 18, 19, 3], [22, 21, 24, 23]]
6: [[13, 2], [20, 7, 10, 14], [9, 4, 5, 8, 6, 1, 3], [12, 11, 15, 17, 16], [18, 19, 22], [21, 24, 23]]
7: [[13, 1, 2, 3], [14, 20, 7, 10, 9, 5, 8, 6, 11, 15, 17, 4, 12], [16, 18, 19], [22, 21, 24, 23]]
8: [[13, 2], [20, 7, 10, 14], [9, 4, 5, 8, 1], [6, 12, 11], [15, 17, 16, 18, 19, 3], [22, 21, 24, 23]]
9: [[13], [2], [20, 7, 10, 9, 1, 14], [4, 5, 8], [6, 12, 11], [15, 17, 16, 18, 3], [19, 22], [21, 24, 23]]
10: [[13], [2], [20], [7, 10, 14], [9, 4, 5, 1], [8, 6, 12], [11, 15], [17, 16, 18, 3], [19, 22], [21, 24, 23]]
11: [[13, 2], [20], [7, 10, 9, 4, 1, 14], [5, 8], [6, 12, 11], [15, 17], [16, 18, 19, 22, 3], [21, 24, 23]]
12: [[13], [2], [20, 7, 10, 14], [9, 4, 1], [5, 8], [6, 12, 3], [11, 15], [17, 16, 18, 19], [22, 21, 24, 23]]
13: [[13, 2], [20, 7], [10, 9, 4, 1, 14], [5, 8, 6, 12], [11, 15], [17, 16, 18, 19, 22, 3], [21, 24, 23]]
14: [[13], [2], [20, 7, 10, 14], [9, 4, 1], [5, 8, 6, 12, 11], [15, 17, 16, 18, 3], [19, 22, 21], [24, 23]]
15: [[13, 2], [20, 7], [10, 9, 4, 1, 14], [5, 8, 6], [12, 11, 15, 17], [16, 18, 19, 3], [22, 21, 24, 23]]
