0: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [12, 4, 24, 9, 11], [8, 14, 15, 16, 17, 10, 18], [20, 19], [31, 25, 22, 28, 23, 26], [30, 29, 37, 32, 43, 42], [39, 34, 36, 41, 46, 33], [38, 44, 47, 45, 55], [48], [51, 50], [49, 57], [52, 53, 54, 58, 59, 60, 56]]
1: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 21, 22, 9, 6, 10, 14, 12, 11], [4, 15, 8, 25, 26, 17, 16, 19, 20, 31, 18, 23, 29, 28, 24, 30, 36, 34, 33, 32, 37, 38, 41, 39, 47, 43, 42], [46, 45, 44, 51, 48, 53], [50, 57, 49, 52, 54], [55, 56, 59, 60, 58]]
2: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 9, 14, 12, 11, 10, 21, 6], [4, 15, 8, 25, 26, 17, 16, 19, 20, 31, 23, 29, 28, 24, 30, 36, 34, 33, 32, 37, 38, 41, 39, 47, 43, 42, 18], [46, 45, 44, 51, 48, 53], [50, 57, 49, 52, 54], [55, 56, 59, 60, 58]]
3: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 8, 21], [6, 10, 9, 14, 12, 4, 17, 15, 11, 18, 19, 23, 16, 26, 20, 24, 25], [28, 22, 29, 31, 30], [38, 33, 34, 36, 32, 37, 39], [41, 47, 42, 43, 45, 44, 46, 53, 48, 51, 50], [49, 52, 54, 55, 60, 59, 56, 57, 58]]
4: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [4, 8, 9, 10, 15, 14, 16, 11, 17, 12, 18, 19, 25, 23, 31, 20, 22, 24, 26, 29, 28, 30, 43, 32, 36], [34, 33, 37, 39, 38, 46, 45, 47, 41, 42], [53, 44, 48, 51, 50, 54, 49, 52, 57, 55, 59, 56, 60, 58]]
5: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 9, 21, 6], [8, 15, 12, 17, 11, 16, 14, 20, 24, 26, 30, 18, 10], [19, 31, 22, 23, 29, 25, 28, 42, 37, 33, 36, 34, 32, 39, 38, 45], [46, 44, 41, 43, 55, 47, 48, 51, 50, 52, 53, 49, 57], [54, 58, 59, 60, 56]]
6: [[1, 35, 27, 7, 2, 4], [13, 56, 19, 3, 20], [12, 6, 26, 14, 9, 5, 10, 15, 8, 11, 18, 17], [16, 21, 22, 23, 24, 31, 29, 28, 25, 30, 44, 34, 37, 32, 33, 36, 41, 42, 38, 45, 40], [39, 43, 46, 55, 48, 47], [50, 57, 49, 52, 51], [53, 58, 54, 60, 59]]
7: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21, 4, 14], [9], [24, 11, 10, 12, 15, 8, 20, 19, 28, 17, 16, 18, 23, 26, 22, 25, 30, 31], [29, 39, 34, 36, 33, 32, 37, 45, 43, 41], [47, 44, 46, 42, 38, 52, 49, 51, 50, 48, 59, 55, 53, 54, 56, 60, 57, 58]]
8: [[1, 35, 27, 7, 2], [4, 13, 41, 11, 6, 21, 8], [3, 10, 15, 9, 5, 12, 23, 22, 18, 20, 16, 14, 19, 24, 25, 29, 17, 60, 30, 26, 28, 31, 34, 38, 37, 32, 45, 47, 40, 42, 33, 36, 39, 43, 44, 52, 48, 46, 51, 53, 55, 49, 50, 58, 54, 57, 56, 59]]
9: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 4, 21, 14, 8, 9, 11, 6, 19], [10, 15, 12, 16, 17, 18, 23, 22, 20, 28, 29], [24, 30, 25, 31, 26, 37], [34, 43, 32, 36, 45], [42, 38, 33, 39, 41, 47, 44, 46], [55, 49, 53, 48, 52, 54, 50, 51, 59, 58, 57, 60, 56]]
10: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 21, 6], [20, 4, 9, 25, 8], [10, 3, 12, 11, 15, 14, 16, 18, 17, 23, 22, 26, 31, 24, 29, 46, 37, 32, 33, 42, 36], [34, 38, 28, 39, 45, 30, 41, 44, 47, 43, 55, 51, 53, 49, 48, 50, 52, 56, 57, 54, 59, 58, 60]]
11: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 20, 22, 14, 9, 6, 24, 12, 11, 4, 8, 15, 10, 16, 18, 17, 19, 26, 23, 28, 21, 30, 31, 25, 29, 39, 46], [33], [37, 36, 32, 47, 38, 44, 42, 48, 34, 41, 45, 54, 60], [49, 43, 58, 51, 52, 53, 55, 50, 56, 57, 59]]
12: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 20, 21], [14, 6, 4, 26, 15], [10, 11, 9, 8, 19, 17, 22, 12, 18, 16, 24], [29, 23], [25, 28, 30, 31, 39, 32], [34, 33, 36, 37, 41, 38, 46, 42, 43, 44, 45], [47, 50, 48, 52, 49, 57, 51, 54], [53, 55, 58, 59, 60, 56]]
13: [[1, 35, 27, 7, 2, 5], [13, 8, 3, 4, 9, 21, 6], [14, 15, 12, 19, 17, 11, 16, 23, 28, 20, 22, 18, 10], [24, 31, 25, 26, 29, 30, 42, 44, 37, 33, 34, 36, 38, 39, 32, 45], [46, 40, 41, 43, 47, 54, 48, 51, 50, 52, 53, 55, 49], [58, 57, 59, 60, 56]]
14: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 22, 21], [12, 6, 25, 9, 4, 10], [8, 14, 11, 15, 18, 16], [23, 19, 17, 20, 26, 24], [28, 29, 31, 30, 39, 34, 32, 37], [33, 36, 38, 47, 45, 42, 43], [41, 59, 44], [54, 48, 51], [49, 52], [46, 58, 55, 50, 57, 53, 60, 56]]
15: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21, 9, 20, 8, 15, 12, 14], [4, 10, 11, 25, 24, 23, 16, 17, 22, 31, 18, 19, 29, 28, 26, 30, 36, 33, 34, 32, 37, 39, 45, 41, 38, 42, 43], [44, 46, 47, 51, 48, 53, 50, 57, 49, 54, 52, 55, 56, 59, 60, 58]]
16: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21, 9, 20, 8, 15, 12, 14], [4, 10, 11, 25, 24, 23, 16, 17, 22, 31, 18, 19, 29, 28, 26, 30, 36, 33, 34, 32, 37, 39, 45, 41, 38, 42, 43], [44, 46, 47, 51, 48, 53, 50, 57, 49, 54, 52, 55, 56, 59, 60, 58]]
17: [[1, 35, 27, 7, 2, 5], [13, 40, 19, 4, 21, 10, 6, 14, 9, 8, 11, 15, 3, 16, 17, 18], [12, 20, 22, 23, 28, 31, 26, 24, 29, 30, 25, 36, 37], [45, 34, 32, 39, 33], [41, 38, 46, 42, 44, 43, 47, 54, 48, 52, 50, 58, 51, 55, 49, 53, 57, 59, 60, 56]]
18: [[1, 35, 27, 7, 2, 5], [13, 40, 19, 6, 21], [4, 3, 29], [14, 12, 10, 8, 15, 9], [17, 26, 11, 20, 18, 16, 28, 24, 22, 25, 23, 31, 30, 36, 37, 32, 34, 33, 41, 39, 38, 46, 44, 43, 47], [45, 42, 55, 48, 53, 49, 50, 52, 51, 54], [58, 56, 57, 60, 59]]
19: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 22, 21, 12, 14, 24, 9], [5, 10, 8, 15, 6, 11, 18, 16, 19, 23, 17, 20, 29, 26], [25, 28, 31, 30, 39, 34, 36, 33, 38, 32, 45, 37, 47, 44, 41, 42, 58, 46, 54, 48, 51, 50], [49, 43, 53, 55, 52, 56, 60, 57, 59]]
20: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [11, 4, 10, 9, 8, 12, 14], [17, 30, 15, 23, 16, 18, 20, 22, 25, 19, 28, 26, 29], [24, 31, 39, 34, 33, 36, 32, 37, 42, 44, 46], [38, 43, 47, 45, 41, 54, 48, 51, 50, 52, 53, 49, 55], [58, 57, 59, 60, 56]]
21: [[1, 35, 27, 7, 2, 5], [13, 40, 3, 6, 21, 12], [4, 25, 9, 11, 8], [14, 15], [20, 18, 10, 17, 16, 19], [28, 24, 22, 23, 26, 31], [30, 29, 37, 32, 43], [42, 39, 34, 36, 33], [47, 38], [41, 44], [45, 46], [53, 48, 51, 50, 49, 54], [52, 55, 57, 58, 56, 60, 59]]
22: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 20, 21], [15, 6, 9, 14, 10], [4, 8, 11], [17, 28, 12, 29, 18, 22], [19, 24, 16, 30, 25, 23, 31, 26, 38, 34, 41, 37, 32, 33, 42, 36, 47, 39, 43, 45, 46, 44, 51, 48, 59], [50, 49, 55, 52, 53, 60, 54, 56, 57, 58]]
23: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 22, 21, 6, 5, 8, 12, 15, 10], [11, 9, 16, 14, 19, 17, 18, 20], [23, 24, 25, 26, 30, 28, 29, 31, 39, 36, 32, 37], [41, 33, 34, 38, 44, 46, 42, 43, 58, 45, 54, 48], [53, 49, 57, 51, 47, 50, 59, 52, 55, 60, 56]]
24: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 28, 11, 21, 6], [9, 14, 12, 15, 8, 29], [18, 10, 19, 16, 22, 17, 20, 24, 26, 25, 23, 31, 30, 33, 32, 43, 36, 38, 37, 34, 47, 39, 46, 42, 45, 41, 44, 50, 48, 51, 49, 54, 52, 53, 59, 56, 58, 57, 60, 55]]
25: [[1, 35, 27, 7, 2], [4, 13, 8, 3, 19, 6], [9, 5, 24, 15, 11, 23, 17, 12, 18, 14, 16, 21, 22, 28, 26, 25, 20, 29, 30, 31, 45, 33, 32, 34, 36, 38, 37, 41, 40, 47, 46, 39, 44, 50, 42, 52, 48, 43, 10], [49, 51, 55, 54, 53, 57, 58, 59, 56, 60]]
26: [[1, 35, 27, 7, 2, 5], [13], [40, 3, 4, 21, 8, 6, 24, 11, 12], [10, 9, 16, 14, 18, 15, 20], [30, 22, 19, 31, 17, 23, 28, 25, 26, 29, 36, 32, 34, 33, 38, 39, 41, 43, 44, 45, 37, 42], [46, 54, 51, 48, 52, 50, 47, 55, 49, 53, 60, 58, 57, 56, 59]]
27: [[1, 35, 27, 7, 2, 5], [13, 40, 19, 6, 21, 3, 4], [30, 9, 12, 10, 8, 17, 14, 11, 31, 15, 20, 16, 18], [29, 28, 22, 26, 23, 24, 25, 36, 37, 41, 34, 32, 33, 39, 44, 46], [38, 43, 47, 45, 42, 54, 48, 55, 50, 52, 53, 51, 49], [58, 57, 59, 60, 56]]
28: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [12, 14, 24], [15, 11, 4, 9, 10, 17], [16, 8, 18, 20, 19, 28], [25, 22, 29, 23, 26, 31], [30, 37, 32, 39, 33, 38, 34, 36, 41, 42, 43, 45, 44, 47, 46, 54, 48, 51, 49, 55, 50, 52, 53, 56, 58, 59, 60, 57]]
29: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 12, 21, 24, 6, 9, 3, 4, 11, 8, 10, 17, 20, 15, 29, 18, 14, 22, 16], [23, 25, 28, 26, 31], [30, 38, 32, 44], [34, 36, 39, 41, 33, 37, 47, 43, 42, 45, 46, 51, 48, 49, 50, 53, 57, 52, 55, 54, 59, 56, 60, 58]]
30: [[1, 35, 27, 7, 2], [5, 13, 41, 3, 6, 20], [12, 4, 24, 11, 8], [9, 14, 15, 19, 18, 10, 16], [21, 17], [31, 23, 22, 28, 25, 26], [30, 29, 32, 34, 42, 36], [39, 33, 37, 38, 46, 40], [43, 45, 47, 44, 55, 48, 51, 49, 50, 57, 52, 53, 54, 58, 56, 60, 59]]
31: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 4, 20], [10, 6, 8, 15, 3, 11, 14, 9], [12, 18, 17, 16, 23, 21, 28, 25, 22], [24, 29, 30, 26, 31, 37], [39, 41, 36, 38, 34], [45, 32, 46, 43, 33, 47, 44, 42], [54, 48, 49, 50, 51, 55, 52, 53, 56, 59, 58, 60, 57]]
32: [[1, 35, 27, 7, 2], [4, 13, 40, 3, 12, 21], [5, 6, 24, 15, 8, 11, 19, 9, 10, 14, 23], [30, 22, 26, 17, 16, 28, 18, 20, 25, 29, 31, 39, 33], [37, 34, 36, 32], [42, 38, 41, 43, 46, 44], [45, 47, 53, 48], [54, 49, 58, 51, 50, 57, 52, 55, 56, 60, 59]]
33: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 4, 21, 15, 6], [24], [9], [10, 11, 26, 29, 8, 18, 17, 12, 14, 16, 22, 19, 20, 23, 25, 30, 28, 31, 36, 33, 32, 34, 38, 37, 41, 42, 44, 43, 39, 46, 45, 59, 51, 48, 47, 55, 49, 52, 53, 57, 50, 56, 60, 54, 58]]
34: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 20, 21, 14, 4, 6, 24, 8, 10, 12, 9, 11, 15, 23, 16, 18, 17, 19], [22, 26, 28, 25, 31, 30, 29, 32, 33, 34, 37, 36, 38, 42, 39, 44, 46, 41, 47, 43, 45, 55, 48, 51, 49, 56, 50, 52, 53, 57, 54, 60, 58, 59]]
35: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 6, 21], [9, 4, 24, 15, 12], [8, 14, 11, 16, 18, 10, 20], [19, 22], [31, 23, 25, 28, 17, 26], [29, 30, 32, 33, 42, 43], [39, 36, 37, 34, 38, 41], [44, 47, 45, 46, 54], [48], [50, 49, 51, 53, 52, 55, 59], [56, 60, 58, 57]]
36: [[1, 35, 27, 7, 2], [5, 13, 40, 3, 12, 21, 15, 6, 10, 8, 4], [18, 11, 17, 24, 9], [14, 16, 23, 19, 22, 30, 29, 20, 25, 26], [28, 31, 33, 38, 36], [34, 32, 37, 43, 45, 42, 47, 41, 39, 44, 58, 54, 48], [49, 50, 51, 53, 55, 52, 59, 56, 46, 57, 60]]
37: [[1, 35, 27, 7, 2], [5, 13, 40, 19, 12, 21, 6, 10, 8, 30, 4, 11, 9, 15, 17, 20, 3, 29, 18, 14, 23, 24], [22, 16, 25, 28, 31, 26, 38, 32, 41, 33, 36, 37, 42, 34, 39, 47, 43, 45, 44, 46, 51, 48, 53, 50, 49, 52, 54, 55, 60, 59, 56, 57, 58]]
