0: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
1: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 11, 10], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
2: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 10, 11], [13, 9, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
3: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 11, 6, 15, 10], [9, 13, 16, 17, 23, 18, 22, 28, 14], [21, 20, 26, 25, 27, 29]]
4: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 11, 10, 6, 15], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
5: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
6: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
7: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 10, 6, 11], [9, 13, 14, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
8: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 13, 11], [6, 9, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
9: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 14, 6, 11, 15], [13, 9, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
10: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 11], [9, 13, 10, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
11: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 6, 14, 11], [9, 13, 22, 18, 10, 17, 16, 23, 28], [21, 20, 26, 25, 27, 29]]
12: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 6, 11], [9, 10, 13, 16, 17, 22, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
13: [[1, 19, 24, 4, 3, 8, 2, 7, 12], [5, 15, 14, 10, 11], [9, 6, 13, 22, 16, 17, 18, 23, 28], [21, 20, 26, 25, 27, 29]]
