0: [[68, 65, 33], [4, 3, 18], [2, 1, 12, 22], [5, 38, 7], [6, 9, 10], [11, 30, 15, 14], [29, 16, 25, 13], [20, 17], [19, 26, 21, 58], [51, 28, 24, 23], [63, 42, 31], [55, 35], [32, 27, 37], [45, 47, 36], [40, 34, 39], [41, 44, 46, 8], [54], [48, 53, 60], [49, 50, 57], [61, 56, 59, 52], [62, 64, 43], [67, 66, 71, 76], [69, 70, 72], [75, 74, 73, 77], [79, 82], [87, 88, 81, 78], [80, 85, 83], [84, 86]]
1: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 8, 27, 13, 23], [29, 30, 21, 16, 17, 11, 14], [19, 20, 25, 26, 61, 28, 58, 32, 15, 42, 31, 55, 34, 47, 37], [39, 44, 40, 41, 59, 63, 43, 46, 45, 53, 50, 48, 10], [51, 36, 62, 49, 12, 22], [60, 52], [54, 56, 35, 57], [64, 67, 71, 74, 77, 66, 73, 72, 69, 75, 78, 70, 76, 79, 83, 80, 81, 82, 87, 84, 85, 86, 88]]
2: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [6, 8, 14], [11], [26, 15, 29], [9, 30, 16], [17, 12, 13, 22], [48, 23], [19, 21, 20], [27, 31], [28, 25, 32, 35, 50], [34, 53, 37, 54, 59, 39], [36, 42, 44, 40, 41, 45, 57], [46, 55, 47], [52, 51, 49], [58, 56, 63, 60, 61, 62, 43], [64], [72, 70, 71], [66, 67, 74], [73, 69, 75, 77, 10], [78, 76, 79, 82], [81, 80, 84], [87, 86, 83, 85, 88]]
3: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [6, 9, 11, 10, 8], [12, 28, 13, 15, 31, 14, 22], [17, 19], [21, 16, 23, 25], [29, 20], [27, 59, 30, 50, 26, 51, 32, 42, 34, 48, 41, 58, 37, 35, 61, 36, 39, 40, 46, 43, 44, 45, 55, 47, 57, 49, 52, 62, 53, 54, 56, 60], [63, 66, 64, 70, 71, 69, 67, 72, 73, 74, 75, 77, 76, 78], [79, 83, 80, 81, 82, 84, 85, 86, 87, 88]]
4: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 8, 43, 13, 6], [9, 29, 26, 11, 28, 14, 15, 12, 20, 37, 16], [59, 17, 21], [62, 23, 19], [27, 50, 30], [63, 31, 22, 25, 32, 35, 36], [34, 45], [39, 41, 42, 40, 52, 44, 46, 47, 48, 49, 51, 61, 55, 57, 58, 53, 54, 56, 60, 66, 64, 70, 67, 75, 69, 71], [73, 72, 74, 76, 77, 78, 79, 82, 83, 81, 80, 84, 85, 87, 86, 88]]
5: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 7, 5], [8, 9, 39, 10, 12], [6, 25, 15], [30, 16, 20], [31, 11, 14], [19, 17, 21], [26, 27, 28, 29], [34, 48, 46, 50, 55, 51, 36, 13, 22, 23], [35, 44, 32], [37, 40, 45, 49], [42, 43, 53, 41, 61, 47, 58, 52, 54, 62, 63, 57, 56, 59, 60, 66, 64], [69, 74, 67, 71, 73, 77, 70, 76, 79], [72, 75, 78, 83, 81, 80, 82, 85, 86, 84, 87, 88]]
6: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 10, 14], [11, 8, 29, 25], [12, 13, 20, 17], [21, 30, 15], [23, 28, 22, 19, 26], [53, 60, 27, 31, 16, 63, 32], [56, 47, 34, 43], [42, 36], [39, 44, 35], [52, 37, 40, 41], [50, 45, 54], [46, 48, 61, 49, 55, 57], [51, 58, 62], [59, 66, 64, 67, 79, 69, 72], [70, 71, 75], [73, 74, 76, 77, 85, 82, 83, 80, 81, 86, 84, 87, 78, 88]]
7: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 9, 6], [15, 8], [12, 30, 11, 13, 16, 17, 23, 28, 20, 19, 14, 21, 29, 22, 27, 51, 25, 31], [26, 63, 32, 34, 44, 56, 36, 39, 40, 37, 47, 35, 41, 43, 50, 42, 58, 45, 52, 46], [61, 53, 48, 54, 49, 57, 55, 59, 60, 62, 66, 64, 67, 70, 75, 77, 69, 71, 72, 73, 78, 76, 74, 79, 81, 84, 80, 82, 87, 85, 83, 86, 88]]
8: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [6, 9, 8], [14, 10, 13], [26, 11, 15], [12, 30, 21], [16, 19, 23], [17, 53, 22, 25, 29, 20, 27, 31], [28, 32, 59, 50, 37, 35, 36, 56, 43, 42, 46, 44, 47, 60, 40, 45, 41], [34, 39, 63, 49], [51, 57, 61, 54, 48, 52], [55, 62, 58, 64, 72, 70, 71, 66, 77, 67, 75, 69, 73, 74, 78, 79, 76, 82, 80, 81, 87, 83, 85, 86, 84, 88]]
9: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [10, 13, 6, 8], [15, 9, 14], [11, 29, 12], [22, 52, 20], [16, 31, 17, 21, 23], [41, 19, 25, 61, 26, 27, 60, 58, 57, 28, 56, 39, 35, 34, 46, 32, 40, 30, 36, 47], [42, 43, 51], [37, 44, 45, 49, 50, 48, 54], [53, 55, 63, 59, 62, 64, 66], [67, 74, 78, 69, 70, 71, 75, 76, 72], [73, 79, 77, 81, 82, 80, 83, 85, 87, 84, 86, 88]]
10: [[68, 65, 33], [4, 3, 18], [2, 1, 24], [38, 5, 7], [9, 12, 13, 22], [8, 43, 6, 39, 10], [15, 29, 30], [11, 14, 16], [50, 49, 20], [19, 45, 17, 23], [25, 21, 27], [55, 26], [28, 63, 31], [34, 41, 60], [35, 40, 36, 37, 32, 44, 42, 46, 57, 47, 48, 53, 52, 58, 59, 61, 51, 54, 56, 62, 66, 64, 69, 71, 67, 76, 70, 79, 72, 74, 73, 75, 77, 78, 84, 83, 80, 81, 86, 87], [82, 85, 88]]
