0: [[7, 3, 8, 5, 1, 2, 6, 10, 14, 4, 9], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
1: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
2: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
3: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
4: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
5: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
6: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11, 12], [15, 16, 19, 18, 20, 17]]
7: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
8: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
9: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
10: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15, 16], [19, 18, 20, 17]]
11: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15, 16], [19, 18, 20, 17]]
12: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15, 16], [19, 18, 20, 17]]
13: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14, 13], [11, 12], [15, 16, 19, 18, 20, 17]]
14: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9], [14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
15: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
16: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
17: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
18: [[7, 4, 3, 8, 5, 1, 2, 6, 10], [9, 14, 13, 11], [12, 15, 16, 19, 18, 20, 17]]
19: [[7, 4, 3, 8, 5, 1, 2], [6, 10, 9, 14, 13, 11], [12, 15, 16, 19, 18, 20, 17]]
20: [[7, 4, 3, 8, 5, 1, 2], [6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
21: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14, 13], [11, 12, 15], [16, 19, 18, 20, 17]]
22: [[7, 4, 3, 8, 5, 1, 2], [6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
23: [[7, 4, 3, 8, 5, 1, 2], [6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
24: [[7, 4, 3, 8, 5, 1, 2, 6], [10, 9, 14, 13, 11], [12, 15, 16, 19, 18, 20, 17]]
25: [[7, 4, 3, 8, 5, 1, 2, 6], [10, 9, 14, 13, 11], [12, 15, 16, 19, 18, 20, 17]]
26: [[7, 4, 3, 8, 5, 1, 2, 6], [10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
27: [[7, 4, 3, 8, 5, 1, 2, 6, 10, 9, 14], [13, 11], [12, 15, 16, 19, 18, 20, 17]]
28: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
29: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
30: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
31: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
32: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
33: [[7, 4, 3, 8, 5], [1, 2, 6, 10, 9, 14, 13], [11, 12, 15, 16, 19, 18, 20, 17]]
34: [[7, 4, 3, 8], [5, 1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
35: [[7, 4, 3, 8, 5, 1], [2, 6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
36: [[7, 4, 3], [8, 5, 1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
37: [[7, 4], [3, 8, 5, 1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
38: [[7, 4, 3], [8, 5, 1, 2, 6, 10, 9, 14, 13, 11, 12], [15, 16, 19, 18, 20, 17]]
39: [[7, 4, 3, 8], [5, 1, 2, 6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
40: [[7, 4, 3], [8, 5, 1, 2, 6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
41: [[7, 4], [3, 8, 5, 1, 2, 6, 10, 9, 14, 13, 11, 12, 15], [16, 19, 18, 20, 17]]
