0: [[4, 27, 11, 25], [5, 7], [23, 18], [52, 13, 21], [39, 8], [32, 49, 17], [15, 6, 10], [3, 48, 30, 51], [59], [56], [1], [33, 34], [35, 46, 2], [28, 9, 24, 45, 12], [36, 50], [41], [42, 37, 16, 54, 29], [20, 19, 26, 31, 47], [22], [14, 53], [55], [40, 58], [38, 44], [57], [60, 43]]
1: [[4, 27, 11, 25], [5, 7], [23, 18], [52, 13, 21], [39, 8], [32, 49, 17], [15, 6, 10], [3, 48, 30, 51], [59], [56], [1], [33, 34], [35, 46, 2], [28, 9, 24, 45, 12], [36, 50], [41], [42, 37, 16, 54, 29], [20, 19, 26, 31, 47], [22], [14, 53], [55], [40, 58], [38, 44], [57], [60, 43]]
2: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 9, 6, 8, 13, 22, 10, 23, 26, 15, 17, 27, 28, 16, 18, 20, 21, 24, 19], [25, 31, 29, 36, 33, 32, 38, 40, 34, 41, 37, 45, 39, 42, 43, 44, 46, 47, 51], [52, 49, 55, 53, 50, 54, 48, 56, 59, 57, 58, 60]]
3: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 8, 10, 15, 13, 27, 9, 21, 12, 19, 17, 18, 23, 16, 20, 28, 26, 22, 24], [25, 29, 31, 41, 38, 36, 37, 32, 47, 42, 33, 40, 34, 45, 46, 43, 44, 39, 51], [48, 49, 50, 52, 53, 54, 55, 59, 56, 58, 57, 60]]
4: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 13, 6, 10, 8, 28, 9, 22, 31, 15, 17, 16, 20, 18, 21, 19, 23], [24, 26, 25, 27, 29, 33, 32, 34, 36, 41, 39, 44, 38, 37, 40, 43, 42, 47, 45, 46, 51], [60, 53, 54, 48, 49, 50, 52, 59, 58, 55, 56, 57]]
5: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 9, 12, 15, 13, 27, 16, 17, 18, 19, 8, 24, 20, 22, 26, 28, 23, 10, 21, 6], [25, 29, 31, 43, 34, 36, 37, 33, 45, 47, 38, 32, 39, 41, 40, 42, 44, 54, 51], [48, 49, 46, 52, 50, 53, 55, 59, 56, 57, 58, 60]]
6: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 12, 6, 10, 9, 15, 25, 23, 13, 31, 20, 17, 18, 16, 19, 28, 21], [26, 22, 29, 24, 27, 32, 36, 34, 33, 39, 37, 38, 40, 43, 47, 42, 45, 41, 46, 44, 51], [52, 53, 54, 48, 50, 49, 55, 58, 59, 57, 56, 60]]
7: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 8, 13, 31, 9, 20, 15, 19, 16, 17, 22, 23, 24, 27, 18, 10], [25, 29, 26, 28, 37, 32, 34, 36, 38, 33, 41, 39, 44, 40, 42, 43, 45, 47, 46, 51, 21, 6], [60, 49, 50, 48, 53, 54, 55, 58, 56, 57, 52, 59]]
8: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 8, 10, 12, 9, 21, 28, 26, 15, 13, 16, 22, 19, 17, 24, 20, 18, 23, 25], [27, 29, 31, 40, 32, 33, 41, 39, 45, 44, 34, 37, 43, 42, 36, 46, 38, 47, 51], [52, 49, 48, 50, 54, 53, 55, 57, 56, 59, 58, 60]]
9: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 13, 10, 8, 9, 24, 12, 25, 15, 18, 23, 16, 17, 20, 21, 28, 26, 22, 19], [27, 29, 31, 41, 32, 34, 37, 39, 45, 33, 38, 40, 36, 43, 46, 42, 44, 47, 51], [48, 49, 54, 52, 50, 53, 55, 57, 60, 56, 58, 59]]
10: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 8, 13, 10, 27, 12, 21, 15, 25, 22, 18, 16, 23, 17, 26, 28, 19, 20], [24, 31, 29, 36, 33, 34, 32, 37, 39, 38, 42, 43, 41, 40, 44, 46, 45, 47, 51], [52, 49, 54, 48, 50, 53, 55, 59, 56, 57, 58, 60]]
11: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 13, 6, 10, 9, 12, 15, 22, 16, 31, 21, 19, 18, 17, 25, 28, 20, 26, 23], [24, 27, 29, 33, 36, 34, 32, 37, 38, 39, 42, 43, 47, 44, 40, 41, 45, 46, 51], [48, 53, 54, 56, 50, 49, 52, 55, 59, 57, 58, 60]]
12: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 9, 12, 26, 10, 25, 15, 31, 13, 19, 18, 16, 28, 20, 21, 17, 6, 22, 23], [24, 27, 29, 32, 34, 33, 43, 44, 39, 46, 45, 47, 36, 42, 40, 37, 38, 41, 51], [52, 49, 50, 53, 54, 48, 55, 56, 59, 57, 58, 60]]
13: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 10, 12, 6, 9, 8, 31, 15, 20, 13, 23, 21, 17, 18, 16, 19, 24, 22], [27, 26, 25, 28, 29, 33, 44, 34, 32, 39, 36, 38, 40, 37, 41, 43, 42, 45, 46, 47, 51], [52, 48, 54, 49, 50, 55, 58, 53, 56, 59, 57, 60]]
14: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 10, 12, 6, 9, 8, 31, 15, 20, 13, 23, 21, 17, 18, 16, 19, 24, 22], [27, 26, 25, 28, 29, 33, 44, 34, 32, 39, 36, 38, 40, 37, 41, 43, 42, 45, 46, 47, 51], [52, 48, 54, 49, 50, 55, 58, 53, 56, 59, 57, 60]]
15: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 9, 6, 27, 12, 22, 15, 21, 19, 17, 16, 10, 13, 18, 20, 28, 23, 24, 29], [26, 31, 25, 32, 33, 34, 37, 45, 36, 44, 38, 47, 46, 43, 41, 39, 40, 42, 51], [52, 49, 54, 48, 53, 55, 56, 50, 58, 57, 59, 60]]
16: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 12, 15, 8, 20, 13, 27, 10, 17, 18, 16, 19, 21, 23, 24, 22], [26, 25, 28, 29, 31, 40, 44, 32, 33, 36, 37, 47, 34, 46, 45, 42, 38, 41, 39, 43, 51], [52, 49, 54, 50, 53, 55, 48, 59, 57, 56, 58, 60]]
17: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 29, 10, 13, 15, 12, 16, 21, 18, 25, 17, 22, 23], [24, 26, 31, 19, 27, 20, 28, 32, 33, 39, 34, 40, 36, 37, 38, 43, 45, 41, 42], [44, 47, 46, 51], [48, 52, 54, 53, 49, 50, 55, 60, 59, 57, 58, 56]]
18: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 13, 26, 10, 12, 17, 18, 15, 16, 25, 21, 23, 24], [19, 22, 28, 29], [27, 20, 31, 33, 39, 32, 34, 45, 36, 38, 37, 47, 40, 42, 41, 43, 44, 46, 51], [56, 52, 54, 55, 49, 48, 50, 53, 58, 57, 59, 60]]
19: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 12, 10, 13, 31, 8, 21, 15, 24, 17, 16, 26, 18, 20, 19, 22], [23, 29, 27, 25, 28, 37, 40, 32, 45, 41, 43, 34, 33, 36, 38, 39, 42, 44, 47, 46, 51], [52, 49, 53, 50, 48, 54, 55, 58, 56, 57, 59, 60]]
20: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 13, 8, 10, 24, 15, 16, 12, 21, 18, 19, 26, 17, 20, 25, 23, 22, 27], [28, 29, 31, 32, 37, 34, 38, 36, 33, 40, 39, 41, 47, 46, 43, 44, 42, 45, 51], [48, 49, 50, 53, 52, 55, 54, 58, 59, 57, 56, 60]]
21: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 6, 10, 13, 9, 15, 19, 17, 8, 16, 20, 22, 24, 18, 21, 26, 23, 27, 25], [28, 29, 31, 40, 33, 34, 36, 32, 39, 45, 37, 46, 38, 42, 44, 41, 43, 47, 51], [48, 49, 54, 50, 52, 55, 53, 57, 56, 59, 58, 60]]
22: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 8, 9, 12, 10, 24, 15, 17, 22, 19, 16, 23, 13, 20, 18, 21, 26, 27, 25], [29, 28, 31, 40, 33, 34, 37, 32, 38, 36, 39, 41, 43, 42, 47, 44, 46, 45, 51], [48, 49, 53, 50, 52, 55, 54, 57, 58, 59, 60, 56]]
23: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 13, 12, 10, 19, 25, 27, 8, 24, 23, 20, 22, 18, 21, 26, 15, 17, 16], [29, 28, 31, 36, 32, 34, 33, 39, 45, 38, 37, 40, 44, 43, 46, 41, 42, 47, 51], [52, 49, 55, 48, 50, 53, 54, 59, 56, 57, 58, 60]]
24: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 13, 12, 10, 8, 27, 9, 21, 15, 16, 17, 18, 20, 22, 23, 26, 19, 24, 25], [29, 28, 31, 32, 36, 34, 33, 37, 39, 40, 43, 44, 45, 41, 38, 42, 46, 47, 51], [52, 49, 50, 48, 54, 55, 53, 58, 56, 57, 59, 60]]
25: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 13, 12, 10, 8, 27, 9, 21, 15, 16, 17, 18, 20, 22, 23, 26, 19, 24, 25], [29, 28, 31, 32, 36, 34, 33, 37, 39, 40, 43, 44, 45, 41, 38, 42, 46, 47, 51], [52, 49, 50, 48, 54, 55, 53, 58, 56, 57, 59, 60]]
26: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 6, 9, 25, 8, 20, 10, 15, 24, 19, 22, 13, 21, 18, 16, 17, 27, 23, 26], [29, 28, 31, 33, 39, 34, 32, 36, 38, 45, 37, 42, 46, 40, 41, 43, 47, 44, 51], [60, 48, 54, 52, 49, 50, 53, 55, 56, 57, 58, 59]]
27: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 8, 10, 12, 13, 15, 21, 24, 16, 31, 26, 18, 17, 25, 19, 22, 20, 23], [27, 28, 29, 40, 36, 34, 38, 32, 37, 46, 39, 33, 41, 45, 42, 43, 44, 47, 51], [53, 49, 50, 55, 48, 52, 54, 59, 56, 57, 58, 60]]
28: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 8, 9, 13, 10, 31, 24, 17, 22, 12, 26, 15, 21, 16, 18, 20, 19, 25, 23], [27, 29, 28, 32, 34, 38, 36, 33, 47, 40, 39, 37, 42, 41, 44, 43, 45, 46, 51], [48, 49, 54, 52, 50, 53, 55, 59, 56, 57, 58, 60]]
29: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 8, 10, 15, 12, 25, 13, 21, 9, 18, 23, 17, 20, 19, 22, 16, 26, 31, 24], [28, 27, 29, 40, 33, 36, 34, 32, 37, 44, 38, 39, 41, 47, 42, 46, 45, 43, 51], [52, 49, 50, 55, 48, 53, 54, 59, 56, 57, 58, 60]]
30: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 15, 8, 9, 6, 12, 31, 23, 27, 17, 20, 19, 10, 13, 16, 25, 29, 26, 21, 22], [18, 28, 24, 36, 32, 34, 33, 44, 38, 40, 39, 37, 41, 42, 46, 43, 45, 47, 51], [52, 49, 55, 48, 50, 57, 54, 53, 59, 58, 56, 60]]
31: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 9, 13, 6, 8, 15, 10, 17, 27, 20, 23, 18, 22, 16, 21, 29, 19, 24, 26], [25, 28, 31, 41, 32, 33, 37, 42, 39, 43, 36, 44, 34, 38, 40, 46, 47, 45, 51], [52, 49, 54, 48, 50, 55, 53, 56, 58, 57, 59, 60]]
32: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 26, 13, 31, 29, 10, 23, 12, 24, 15, 20, 21, 19], [18, 16, 17, 27, 22, 25, 28, 36, 33, 34, 32, 37, 38, 39, 40, 41, 44, 43, 42], [46, 47, 45, 51], [52, 49, 50, 53, 48, 55, 54, 58, 56, 57, 59, 60]]
33: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 12, 13, 10, 31, 6, 28, 26, 15, 8, 20, 9, 23, 16, 17, 18, 19, 22, 21, 24], [27, 25, 29, 41, 36, 32, 42, 37, 34, 33, 47, 40, 44, 45, 46, 39, 43, 48, 50], [52, 53, 38, 49, 51, 54, 55, 56, 57, 58, 59, 60]]
34: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 13, 8, 10, 9, 27, 17, 15, 31, 24, 12, 19, 22, 21, 20], [18, 23, 16, 25, 26, 29, 28, 36, 33, 34, 32, 37, 38, 39, 40, 41, 44, 43, 42], [46, 45, 47, 51], [52, 49, 50, 53, 54, 55, 48, 56, 58, 57, 59, 60]]
35: [[7, 1, 2, 35, 11], [30, 4, 3, 5], [14, 8, 9, 6, 13, 15, 27, 10, 19, 12, 31, 16, 20, 21, 26, 22, 23, 18], [17, 25, 24, 29, 28, 45, 32, 33, 34, 36, 39, 38, 42, 37, 44, 43, 40, 41, 47, 46, 51], [53, 49, 59, 48, 50, 52, 55, 54, 56, 57, 60, 58]]
36: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 12, 15, 8, 17, 10, 21, 13, 18, 31, 22, 26, 25, 16], [19, 23, 24, 20], [28, 29, 27, 32, 33, 38, 34, 36, 39, 37, 40, 41, 43, 42, 44, 46, 47, 45, 51], [52, 48, 50, 55, 53, 49, 54, 58, 57, 59, 56, 60]]
37: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 10, 25, 15, 29, 8, 12, 26, 19, 28, 22, 21, 16, 20, 13, 17, 18, 23], [24, 27, 47, 33, 34, 31, 44, 39, 38, 45, 43, 40, 32, 41, 36, 37, 42, 46, 50], [52, 53, 54, 51, 49, 48, 59, 56, 57, 55, 58, 60]]
38: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 12, 13, 8, 22, 10, 29, 27, 17, 16, 15, 21], [18, 20, 28, 19, 24, 31, 23, 25, 26, 37, 32, 34, 45, 38, 33, 46, 39, 43, 36, 42, 41], [40, 44, 47, 51], [52, 49, 54, 48, 50, 55, 53, 57, 56, 59, 58, 60]]
39: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 9, 6, 13, 29, 23, 12, 17, 10, 31, 15, 18, 22, 19, 16, 20, 26, 21, 25], [27, 28, 24, 44, 33, 34, 32, 38, 36, 39, 41, 40, 37, 43, 47, 45, 42, 46, 51], [52, 49, 50, 53, 54, 55, 48, 59, 56, 57, 58, 60]]
40: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 15, 13, 24, 12, 10, 28, 16, 23, 21, 18, 17, 20], [19, 26, 22, 27, 29, 25, 31, 40, 33, 38, 34, 36, 37, 44, 32, 39, 41, 47, 42], [45, 46, 43, 51], [52, 49, 50, 55, 53, 48, 54, 59, 56, 57, 58, 60]]
41: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 8, 9, 12, 29, 13, 22, 15, 20, 18, 17, 16, 19, 21, 23, 24, 25, 10, 26, 6], [27, 31, 28, 32, 33, 34, 36, 44, 39, 45, 37, 38, 42, 43, 40, 41, 46, 47, 51], [52, 49, 53, 48, 50, 54, 55, 60, 58, 57, 56, 59]]
42: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 24, 12, 23, 10, 20, 31, 13, 21, 25, 16, 15, 18], [17, 22, 26, 19, 27, 28, 29, 36, 39, 32, 34, 44, 38, 33, 37, 45, 40, 42, 46], [41, 47, 43, 51], [48, 49, 52, 53, 50, 54, 56, 55, 59, 57, 58, 60]]
43: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 24, 12, 23, 10, 20, 31, 13, 21, 25, 16, 15, 18], [17, 22, 26, 19, 27, 28, 29, 36, 39, 32, 34, 44, 38, 33, 37, 45, 40, 42, 46], [41, 47, 43, 51], [48, 49, 52, 53, 50, 54, 56, 55, 59, 57, 58, 60]]
44: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 12, 10, 13, 16, 21, 15, 25, 19, 18, 17, 22, 23], [24, 20, 27, 28], [26, 29, 31, 32, 33, 38, 34, 36, 37, 39, 43, 42, 41, 40, 45, 44, 47, 46, 51], [56, 49, 55, 52, 54, 48, 53, 50, 59, 57, 58, 60]]
45: [[7, 1, 2, 35], [11, 30, 4, 3, 5, 14, 6, 9, 8, 26, 13, 29, 10, 20, 25, 12, 18, 15, 16, 21, 17, 19], [22, 24, 23, 27, 28, 31, 33, 44, 32, 37, 43, 47, 34, 45, 36, 38, 39, 40], [42, 41, 46, 51], [52, 48, 55, 50, 53, 54, 49, 58, 56, 57, 59, 60]]
46: [[7, 1, 2, 35], [11, 30, 4, 3], [5, 14, 6, 9, 12, 8, 10, 17, 13, 29, 15, 27, 31, 16, 28, 18, 20, 23, 24, 26, 19], [25, 21, 22, 40, 32, 33, 34, 36, 39, 37, 38, 41, 43, 42, 46, 44, 45, 47, 51], [52, 49, 48, 59, 53, 54, 55, 50, 57, 58, 56, 60]]
