0: [[8, 1, 3], [2, 10, 7, 5], [4, 13], [12, 9, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
1: [[8, 1, 3], [7, 2, 10], [5, 4, 13], [12, 9, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
2: [[8, 1, 3], [2, 10], [7, 5], [4, 13], [12, 9, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
3: [[8, 1, 3], [7, 5, 4, 13, 2, 10], [12, 9, 11], [6, 14, 15, 16], [19, 17, 18, 20]]
4: [[8, 1, 3], [2, 10], [7, 5], [4, 13], [12, 9, 11], [6, 14], [15, 16], [19, 17, 18, 20]]
5: [[8, 1, 3], [2, 10, 7], [5, 4], [13, 12], [9, 11, 6], [14, 15, 16], [19, 17, 18, 20]]
6: [[8, 1, 3], [2, 10, 7, 5], [4, 13], [12, 9, 11, 6], [14, 15, 16, 19, 17, 18, 20]]
7: [[8, 1, 3], [2, 10, 7], [5, 4], [13, 12, 11, 9], [6, 14, 15, 16, 19, 17, 18, 20]]
8: [[8, 1, 3], [7, 2, 5], [11, 4, 13, 12], [10, 9, 6, 14], [15, 16, 19, 17, 18, 20]]
9: [[8, 1, 3], [2, 10, 7, 5], [4, 13, 6, 9], [11, 12, 14, 15], [16, 19, 17, 18, 20]]
10: [[8, 1, 3], [2, 10, 6], [5, 4, 13, 7], [9, 11], [12, 14, 15, 16], [19, 17, 18, 20]]
11: [[8, 1, 3], [2, 10, 7, 5], [4, 13, 6], [9, 11, 12, 14], [15, 16, 19, 17], [18, 20]]
12: [[8, 1, 3], [2, 10, 6, 5], [4, 13], [14, 9, 11, 7], [12, 15, 16], [19, 17, 18, 20]]
13: [[8, 1, 3], [5, 10], [6, 4, 2], [13, 7, 11, 9, 12, 14], [15, 16, 19, 17, 18, 20]]
14: [[8, 1, 3], [7, 2, 5], [10, 4], [13, 12, 6, 11, 9, 14, 15, 16], [19, 17, 18, 20]]
15: [[8, 1, 3], [2, 10, 5], [6, 4], [13, 12, 7, 11, 9, 14, 15, 16], [19, 17, 18, 20]]
16: [[8, 1, 3], [2, 10, 7, 5], [4, 13, 11, 9], [12, 6, 14, 15, 16, 19, 17, 18, 20]]
17: [[8, 1, 3], [13, 4, 2], [5, 7, 14], [9, 10, 11], [6, 12, 15, 16], [19, 17, 18, 20]]
18: [[8, 1, 3], [6, 2], [7, 5], [4, 13], [12, 10, 11], [9, 14, 15, 16], [19, 17, 18, 20]]
19: [[8, 1, 3], [6, 10], [2, 5], [4, 7, 12], [13, 11, 9], [14, 15, 16], [19, 17, 18, 20]]
20: [[8, 1, 3], [6, 2, 7], [5, 4, 13], [12, 9], [11, 10, 14], [15, 16], [19, 17, 18, 20]]
21: [[8, 1, 3], [6, 7, 2], [5, 4, 13], [9, 11, 10], [14, 12], [15, 16, 19], [17, 18, 20]]
22: [[8, 1, 3], [2, 10, 6, 5], [4, 13, 7], [9, 11, 12, 14], [15, 16, 19, 17], [18, 20]]
23: [[8, 1, 3], [2, 7, 4], [12, 13, 9, 5], [11, 10, 14, 15, 6], [16, 19, 17, 18, 20]]
24: [[8, 1, 3], [6, 7], [2, 5], [4, 13, 10, 9], [11, 12, 14], [15, 16, 19], [17, 18, 20]]
25: [[8, 1, 3], [2, 10], [7, 5], [4, 13], [12, 9, 11, 6], [14, 15, 16, 19], [17, 18], [20]]
26: [[8, 1, 3], [6, 7], [2, 5], [4, 13, 9], [10, 11, 12], [14, 15, 16], [19, 17], [18, 20]]
27: [[8, 1, 3], [6, 10, 2], [12, 4, 5], [14, 7, 11, 9], [13, 15, 16], [19, 17, 18, 20]]
28: [[8, 1, 3], [2, 10, 6], [12, 4, 13], [14, 5, 11, 9], [7, 15, 16, 19], [17, 18, 20]]
29: [[8, 1, 3], [7, 2, 4, 5], [6, 9, 12, 10], [11, 13, 14, 15, 16, 19, 17, 18, 20]]
30: [[8, 1, 3], [4, 12], [2, 5, 6, 13], [7, 9, 11], [10, 14, 15, 16], [19, 17, 18, 20]]
31: [[8, 1, 3], [6, 10, 2], [5, 4], [13, 11, 12, 7, 9, 14, 15, 16, 19, 17, 18, 20]]
32: [[8, 1, 3], [7, 5, 4, 12, 6, 10], [2, 13, 11], [9, 14], [15, 16], [19, 17, 18, 20]]
33: [[8, 1, 3], [6, 10, 2], [5, 4, 13], [9, 14, 11], [7, 12, 15], [16, 19, 17], [18, 20]]
34: [[8, 1, 3], [6, 2], [10, 5, 4], [13, 11, 9], [7, 12, 14, 15], [16, 19, 17, 18], [20]]
35: [[8, 1, 3], [6, 2, 4, 7], [12, 9, 5, 10, 11, 13, 14, 15, 16, 19, 17, 18, 20]]
36: [[8, 1, 3], [4, 13, 2, 15], [5, 14], [12, 9], [11, 6], [7, 10, 16], [19, 17, 18, 20]]
37: [[8, 1, 3], [7, 2, 4, 5, 6, 13, 14, 10, 11, 9, 12, 15, 16, 19, 17], [18, 20]]
38: [[8, 1, 3, 6, 2, 7], [4, 12, 13, 10, 5, 9, 11, 14, 15, 16, 19], [17, 18, 20]]
39: [[8, 1], [3, 6, 2], [7, 5, 4], [13, 10, 9], [11, 12, 14], [15, 16, 19], [17, 18, 20]]
