0: [[22, 2, 1, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
1: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
2: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
3: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
4: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
5: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
6: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
7: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
8: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
9: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6], [11, 9, 8, 16, 15, 18, 19, 20, 12, 17], [21, 23, 24]]
10: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6], [11, 9, 8, 16, 15, 18, 19, 20, 12, 17], [21, 23, 24]]
11: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
12: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
13: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
14: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
15: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
16: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 12], [9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
17: [[1, 22, 2, 13], [3, 4, 14, 10, 5, 7, 6, 12], [11, 9, 8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
18: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 12], [8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
19: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 12], [15, 18, 19, 20, 17], [21, 23, 24]]
20: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 12], [15, 18, 19, 20, 17], [21, 23, 24]]
21: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 12], [15, 18, 19, 20, 17], [21, 23, 24]]
22: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 12], [15, 18, 19, 20, 17], [21, 23, 24]]
23: [[1, 22, 2, 13, 3, 4, 14, 10], [5, 7, 6, 11, 9, 8, 16, 12], [15, 18, 19, 20, 17], [21, 23, 24]]
24: [[1, 22, 2, 13, 3, 4], [14, 10, 5, 7, 6, 11, 9, 12], [8, 16, 15, 18, 19, 20, 17], [21, 23, 24]]
