0: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
1: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
2: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
3: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
4: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
5: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
6: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
7: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
8: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
9: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
10: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
11: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
12: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
13: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
14: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
15: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
16: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13], [9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
17: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
18: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
19: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
20: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 20, 14, 23], [21, 25, 27, 26, 29]]
21: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
22: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
23: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
24: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
25: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
26: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
27: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
28: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
29: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
30: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
31: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
32: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
33: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
34: [[24, 6, 19, 5, 18, 1, 2, 10], [7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
35: [[24, 6, 19, 5, 18, 1, 2, 10, 7], [4, 11, 3, 12, 8, 15, 13, 9], [22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
36: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 20, 23], [21, 25, 27, 26, 29]]
37: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 20, 23, 14], [21, 25, 27, 26, 29]]
38: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 23, 20], [21, 25, 27, 26, 29]]
39: [[24, 6, 19, 5, 18, 1, 2], [10, 7, 4, 11, 3, 12, 8, 15], [13, 9, 22, 16, 17, 28, 14, 23, 20], [21, 25, 27, 26, 29]]
