0: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 5, 6, 21], [9, 8], [11, 12, 24, 15, 20, 10], [16, 19, 17, 18], [23, 22, 26, 25, 28], [30, 29, 31, 37, 40], [34, 33, 38, 32, 46, 39, 36], [47, 44, 41, 42, 43, 59, 50, 55], [48, 45, 51, 54, 53, 56, 60, 52], [57, 49], [58]]
1: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 6], [5, 9, 8, 11, 16, 12, 15, 22, 25, 30, 17, 20, 19, 18, 10], [23, 29, 28, 24, 26, 31, 37, 32, 41, 44, 55, 33, 42, 46, 34, 47, 45, 43, 38], [36, 39, 51, 52], [56, 40, 50, 48, 54, 53, 60], [49, 58, 59, 57]]
2: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 6, 5], [11, 10, 8, 9, 24, 15, 29, 12, 16, 23], [18, 26, 17, 19, 28, 20, 22, 25, 30, 31], [37, 42, 32, 33, 34, 36, 38, 47, 44, 39, 40, 41, 45, 43], [46, 51, 50, 58, 49, 48, 52, 53, 54, 57, 55, 56, 59, 60]]
3: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21], [5, 6, 9, 8, 10, 12, 11, 15, 29, 17], [18, 16, 19, 28, 22, 24], [26, 20, 31, 23, 25, 34, 33, 42], [45, 32, 30, 39, 40, 37, 36, 43, 41, 44, 47, 46, 53, 51, 38, 48, 50, 54], [55, 52, 58, 59, 49, 60, 56, 57]]
4: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [9, 8, 10, 11, 28, 15, 17, 12, 26, 16, 18], [24, 22, 19, 20], [29, 23, 25], [30, 31, 37, 40, 33, 36], [32, 34, 38, 47, 41, 39, 45, 42], [43], [44, 46, 50, 54, 52, 51, 53, 49, 55, 56, 48, 58, 59, 57, 60]]
5: [[35, 27, 7, 2], [1, 3, 4], [14, 13, 21, 5, 6], [11, 8, 10, 12, 9, 28, 31, 18, 16, 15, 17, 22, 19, 23, 24, 20, 30, 26, 29, 25, 33, 38, 32, 34, 41, 36, 43, 37, 40, 39, 47, 44, 46, 42, 45, 50, 49, 60], [48, 52, 54, 53, 57, 51, 58, 55, 56], [59]]
6: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 5, 9, 21, 6], [8, 12, 15, 18, 10], [29, 28, 11, 16], [23, 17, 19, 22, 20, 24, 25], [30, 26, 31, 37, 32, 33, 34, 36, 42], [38, 47, 40, 39, 41, 46, 43, 45, 44, 50, 48], [54, 49, 51, 52, 55, 53, 56, 57, 58, 59, 60]]
7: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 5, 8, 21, 6], [11], [9, 29, 12, 19, 17, 22], [28, 24, 23, 15, 26, 16, 18, 10], [20, 25, 30, 31, 36, 46, 34, 38, 55, 33, 32, 37, 40, 39, 42, 43, 44, 47, 45, 50, 54, 48, 41, 51, 53, 49, 52, 56, 58, 57, 59, 60]]
8: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 5, 9, 6, 21], [8], [15, 24, 12, 20, 26, 16, 10], [11, 17, 19, 18], [22, 30, 25, 28, 23], [29, 31, 37, 44, 34], [33, 36, 32], [39, 47, 38, 41, 40, 42, 46, 45, 43, 49], [55, 50, 53, 51, 52, 48, 56, 54, 58], [57, 59, 60]]
9: [[35, 27, 7, 2], [1, 3, 4, 14], [13, 5, 9, 6, 21], [8], [15, 24, 12, 20, 26, 16, 10], [11, 17, 19, 18], [22, 30, 25, 28, 23], [29, 31, 37, 44, 34], [33, 36, 32], [39, 47, 38, 41, 40, 42, 46, 45, 43, 49], [55, 50, 53, 51, 52, 48, 56, 54, 58], [57, 59, 60]]
10: [[35, 27, 7, 2], [1, 3, 4, 14, 13, 21, 5], [6, 8, 10, 11, 9, 12, 15], [18, 17, 19, 20, 16, 23], [25, 22, 24, 28], [30, 29, 26, 31, 37], [42, 32, 38, 40, 33], [41, 36, 46, 34, 44, 45, 47], [43, 51, 48, 52, 54], [39, 50, 53], [49, 55, 58, 56, 57, 59, 60]]
11: [[35, 27, 7, 2, 1], [3, 4, 14, 13, 21, 5, 6, 8], [10, 9, 26, 11, 12], [18, 25, 15, 16, 23, 19, 17, 22, 24, 20], [29, 30, 31, 28, 37, 32], [40, 36, 33, 34], [46, 39, 38, 43, 42], [47, 41, 45, 44, 51, 53], [58, 48, 49, 54, 55, 52, 59, 50, 57, 56, 60]]
12: [[35, 27, 7, 2, 1], [3, 4, 14], [13, 21, 5, 6, 9, 8], [10, 26, 28, 15, 16, 11, 23, 18, 12, 17, 20, 25, 30, 19], [22, 29, 24, 31, 33, 32, 37, 34], [52], [42, 39, 40, 38, 43, 45, 46, 41, 44, 47], [49, 51, 56, 36, 50, 54, 48, 55, 53, 57, 58, 59, 60]]
